Dataset,Method,Seed,Best Epoch,Test Overall Accuracy,Test Worst Group Accuracy
chexpert_nih,erm,seed_3,11,63.099998235702515,34.99999940395355
chexpert_nih,erm,seed_2,13,57.30000138282776,35.19999980926514
chexpert_nih,erm,seed_1,16,65.6000018119812,28.79999876022339
chexpert_nih,erm,seed_4,5,61.799997091293335,26.499998569488525
chexpert_nih,erm,seed_0,18,58.399999141693115,29.600000381469727
chexpert_nih,debian,seed_3,4,62.59999871253967,17.59999990463257
chexpert_nih,debian,seed_2,18,66.00000262260437,34.90000069141388
chexpert_nih,debian,seed_1,11,61.799997091293335,36.7000013589859
chexpert_nih,debian,seed_4,18,62.00000047683716,32.30000138282776
chexpert_nih,debian,seed_0,12,58.09999704360962,37.700000405311584
chexpert_nih,jtt,seed_3,1,60.19999980926514,24.500000476837158
chexpert_nih,jtt,seed_2,2,56.40000104904175,25.699999928474426
chexpert_nih,jtt,seed_1,1,52.799999713897705,3.2999999821186066
chexpert_nih,jtt,seed_4,2,52.30000019073486,21.699999272823334
chexpert_nih,jtt,seed_0,2,52.399998903274536,25.200000405311584
chexpert_nih,lff,seed_3,18,58.70000123977661,31.90000057220459
chexpert_nih,lff,seed_2,11,61.500000953674316,30.700001120567322
chexpert_nih,lff,seed_1,1,54.40000295639038,7.100000232458115
chexpert_nih,lff,seed_4,14,64.70000147819519,25.699999928474426
chexpert_nih,lff,seed_0,15,64.70000147819519,29.600000381469727
chexpert_nih,sd,seed_3,2,54.79999780654907,8.399999886751175
chexpert_nih,sd,seed_2,12,64.99999761581421,31.90000057220459
chexpert_nih,sd,seed_1,19,61.500000953674316,27.000001072883606
chexpert_nih,sd,seed_4,15,58.60000252723694,28.299999237060547
chexpert_nih,sd,seed_0,16,54.90000247955322,30.500000715255737
chexpert_nih,di,seed_1,8,68.00000071525574,62.40000128746033
chexpert_nih,di,seed_0,6,69.9999988079071,56.199997663497925
chexpert_nih,badd,seed_3,15,69.80000138282776,63.70000243186951
chexpert_nih,badd,seed_2,14,73.00000190734863,63.70000243186951
chexpert_nih,badd,seed_1,15,69.49999928474426,59.700000286102295
chexpert_nih,badd,seed_4,10,73.50000143051147,61.500000953674316
chexpert_nih,badd,seed_0,11,74.50000047683716,73.50000143051147
chexpert_nih,flac,seed_3,11,54.100000858306885,45.60000002384186
chexpert_nih,flac,seed_2,1,52.49999761581421,45.39999961853027
chexpert_nih,flac,seed_1,12,57.70000219345093,52.89999842643738
chexpert_nih,flac,seed_4,2,53.200000524520874,50.0
chexpert_nih,flac,seed_0,2,47.200000286102295,37.5
chexpert_nih,bb,seed_3,7,66.90000295639038,50.0
chexpert_nih,bb,seed_2,19,72.2000002861023,70.39999961853027
chexpert_nih,bb,seed_1,11,68.4000015258789,62.5
chexpert_nih,bb,seed_4,10,69.70000267028809,62.5
chexpert_nih,bb,seed_0,12,76.80000066757202,60.19999980926514
chexpert_nih,end,seed_3,12,56.09999895095825,34.09999907016754
chexpert_nih,end,seed_2,10,64.89999890327454,31.00000023841858
chexpert_nih,end,seed_1,15,63.30000162124634,34.09999907016754
chexpert_nih,end,seed_4,16,65.6000018119812,28.79999876022339
chexpert_nih,end,seed_0,18,58.399999141693115,29.600000381469727
chexpert_nih,groupdro,seed_3,5,59.79999899864197,12.5
chexpert_nih,groupdro,seed_2,3,59.3999981880188,0.0
chexpert_nih,groupdro,seed_1,2,56.90000057220459,12.5
chexpert_nih,groupdro,seed_0,5,55.900001525878906,25.0
chexpert_nih,maviasb,seed_3,20,66.50000214576721,53.1000018119812
chexpert_nih,maviasb,seed_2,18,70.70000171661377,59.79999899864197
chexpert_nih,maviasb,seed_1,15,68.30000281333923,56.69999718666077
chexpert_nih,maviasb,seed_4,7,69.19999718666077,55.59999942779541
chexpert_nih,maviasb,seed_0,12,68.80000233650208,49.59999918937683
