Dataset,Method,Seed,Best Epoch,test_overall,test_worst_group_accuracy
chexpert_nih,bias_ensemble,seed_4,13,69.19999999999999,39.800000000000004
chexpert_nih,bias_ensemble,seed_2,0,50.0,0.0
chexpert_nih,bias_ensemble,seed_5,18,67.30000000000001,35.4
chexpert_nih,bias_ensemble,seed_3,0,50.0,0.0
chexpert_nih,bias_ensemble,seed_1,0,49.7,0.0
chexpert_nih,bpa,seed_4,12,58.599999999999994,42.699999999999996
chexpert_nih,bpa,seed_2,18,56.10000000000001,36.5
chexpert_nih,bpa,seed_5,18,59.9,36.9
chexpert_nih,bpa,seed_3,19,53.900000000000006,38.6
chexpert_nih,bpa,seed_1,12,64.3,40.300000000000004
chexpert_nih,george,seed_4,18,58.099999999999994,25.2
chexpert_nih,george,seed_2,17,54.1,22.400000000000002
chexpert_nih,george,seed_5,15,57.699999999999996,33.6
chexpert_nih,george,seed_3,15,60.8,18.4
chexpert_nih,george,seed_1,16,65.0,61.9
chexpert_nih,nsf,seed_4,0,61.199999999999996,16.8
chexpert_nih,nsf,seed_2,0,61.1,17.299999999999997
chexpert_nih,nsf,seed_5,0,61.0,18.6
chexpert_nih,nsf,seed_3,0,61.3,16.8
chexpert_nih,nsf,seed_1,0,61.5,17.299999999999997
