Dataset,Method,Seed,Best Epoch,test_accuracy
ucf101,bias_ensemble,seed_2,25,73.28805885681948
ucf101,bias_ensemble,seed_3,13,74.87266553480475
ucf101,bias_ensemble,seed_1,27,73.82569326542162
ucf101,bpa,seed_2,15,75.63667232597624
ucf101,bpa,seed_3,21,75.94793435200906
ucf101,bpa,seed_1,26,75.52348613469157
ucf101,george,seed_2,13,55.715902659875496
ucf101,george,seed_3,12,52.77306168647426
ucf101,george,seed_1,12,55.43293718166383
ucf101,nsf,seed_2,0,68.9586870401811
ucf101,nsf,seed_1,0,68.76061120543294
