Dataset,Method,Seed,Best Epoch,test_accuracy
ucf101_org,erm,seed_2,17,45.83798882681564
ucf101_org,erm,seed_3,5,47.70949720670391
ucf101_org,erm,seed_1,6,47.56983240223464
ucf101_org,debian,seed_2,16,44.162011173184354
ucf101_org,debian,seed_3,8,47.374301675977655
ucf101_org,debian,seed_1,5,47.76536312849162
ucf101_org,jtt,seed_2,26,45.97765363128492
ucf101_org,jtt,seed_3,27,48.26815642458101
ucf101_org,jtt,seed_1,23,48.68715083798883
ucf101_org,lff,seed_2,15,47.625698324022345
ucf101_org,lff,seed_3,12,47.29050279329609
ucf101_org,lff,seed_1,13,46.78770949720671
ucf101_org,sd,seed_2,15,46.78770949720671
ucf101_org,sd,seed_3,19,47.79329608938547
ucf101_org,sd,seed_1,6,48.35195530726256
ucf101_org,di,seed_2,22,38.35195530726257
ucf101_org,di,seed_3,20,42.23463687150838
ucf101_org,di,seed_1,22,37.625698324022345
ucf101_org,bb,seed_2,12,38.32402234636872
ucf101_org,bb,seed_3,23,43.463687150837984
ucf101_org,bb,seed_1,21,39.3854748603352
ucf101_org,end,seed_2,17,45.83798882681564
ucf101_org,end,seed_3,9,49.07821229050279
ucf101_org,end,seed_1,6,47.56983240223464
ucf101_org,groupdro,seed_2,5,43.7709497206704
ucf101_org,groupdro,seed_3,3,39.83240223463688
ucf101_org,groupdro,seed_1,5,45.69832402234637
ucf101_org,flac,seed_2,15,46.927374301675975
ucf101_org,flac,seed_3,7,48.5195530726257
ucf101_org,flac,seed_1,14,50.11173184357543
ucf101_org,maviasb,seed_2,19,49.86033519553072
ucf101_org,maviasb,seed_3,12,51.81564245810056
ucf101_org,maviasb,seed_1,8,50.22346368715084
ucf101_org,badd,seed_2,16,46.62011173184358
ucf101_org,badd,seed_3,8,49.6927374301676
ucf101_org,badd,seed_1,14,41.36871508379888
ucf101_org,bias_ensemble,seed_2,11,48.184357541899445
ucf101_org,bias_ensemble,seed_3,22,48.32402234636872
ucf101_org,bias_ensemble,seed_1,14,48.463687150837984
ucf101_org,bpa,seed_2,5,45.642458100558656
ucf101_org,bpa,seed_3,12,48.10055865921788
ucf101_org,bpa,seed_1,18,45.69832402234637
ucf101_org,george,seed_2,9,41.78770949720671
ucf101_org,george,seed_3,12,44.46927374301676
ucf101_org,george,seed_1,10,44.30167597765363
