Dataset,Method,Seed,Best Epoch,test_overall,test_worst_group_accuracy
urbancars,bias_ensemble,seed_4,79,77.3,39.2
urbancars,bias_ensemble,seed_2,110,77.7,36.0
urbancars,bias_ensemble,seed_5,91,77.0,31.2
urbancars,bias_ensemble,seed_3,145,79.10000000000001,36.8
urbancars,bias_ensemble,seed_1,130,79.5,40.0
urbancars,bpa,seed_4,106,80.80000000000001,51.2
urbancars,bpa,seed_2,145,81.0,48.0
urbancars,bpa,seed_5,130,82.19999999999999,55.2
urbancars,bpa,seed_3,105,83.1,53.6
urbancars,bpa,seed_1,92,81.89999999999999,53.6
urbancars,george,seed_4,125,80.9,52.0
urbancars,george,seed_2,109,79.0,49.6
urbancars,george,seed_5,70,80.2,48.8
urbancars,george,seed_3,137,79.7,50.4
urbancars,george,seed_1,130,81.2,52.800000000000004
urbancars,nsf,seed_4,0,77.4,24.0
urbancars,nsf,seed_2,0,78.7,40.8
urbancars,nsf,seed_5,0,80.7,40.8
urbancars,nsf,seed_3,0,79.10000000000001,40.0
urbancars,nsf,seed_1,0,77.8,16.8
