Dataset,Method,Seed,Best Epoch,test_overall,test_worst_group_accuracy
chexpert_nih,bias_ensemble,seed_2,5,75.0,70.39999999999999
chexpert_nih,bias_ensemble,seed_3,7,69.69999999999999,62.5
chexpert_nih,bpa,seed_2,8,71.89999999999999,62.5
chexpert_nih,bpa,seed_3,5,66.10000000000001,58.3
chexpert_nih,bpa,seed_1,7,73.4,66.4
chexpert_nih,george,seed_2,18,70.3,61.9
chexpert_nih,george,seed_3,12,70.3,60.699999999999996
chexpert_nih,george,seed_1,16,67.9,54.0
chexpert_nih,erm,seed_2,13,71.3,64.2
chexpert_nih,erm,seed_3,10,73.0,64.60000000000001
chexpert_nih,erm,seed_1,8,70.0,62.5
chexpert_nih,debian,seed_2,9,73.4,68.60000000000001
chexpert_nih,debian,seed_3,7,73.0,63.7
chexpert_nih,debian,seed_1,12,74.6,70.5
chexpert_nih,jtt,seed_2,3,59.4,39.4
chexpert_nih,jtt,seed_3,4,61.0,40.9
chexpert_nih,jtt,seed_1,13,66.4,55.300000000000004
chexpert_nih,lff,seed_2,9,75.3,66.4
chexpert_nih,lff,seed_3,6,70.8,62.5
chexpert_nih,lff,seed_1,4,67.60000000000001,60.6
chexpert_nih,sd,seed_2,9,68.60000000000001,62.5
chexpert_nih,sd,seed_3,10,73.3,66.8
chexpert_nih,sd,seed_1,7,73.0,65.0
chexpert_nih,di,seed_2,6,78.4,72.6
chexpert_nih,di,seed_3,7,71.89999999999999,62.5
chexpert_nih,di,seed_1,9,77.10000000000001,70.1
chexpert_nih,bb,seed_2,11,74.1,72.1
chexpert_nih,bb,seed_3,12,74.8,68.4
chexpert_nih,bb,seed_1,12,74.4,72.8
chexpert_nih,end,seed_2,8,70.19999999999999,62.5
chexpert_nih,end,seed_3,6,69.69999999999999,62.5
chexpert_nih,end,seed_1,7,69.8,62.5
chexpert_nih,groupdro,seed_2,0,56.99999999999999,0.0
chexpert_nih,groupdro,seed_3,3,67.9,61.3
chexpert_nih,groupdro,seed_1,2,66.5,37.5
chexpert_nih,flac,seed_2,6,71.89999999999999,62.5
chexpert_nih,flac,seed_3,18,73.3,67.5
chexpert_nih,flac,seed_1,11,71.2,62.5
chexpert_nih,maviasb,seed_2,12,72.2,62.5
chexpert_nih,maviasb,seed_3,12,70.89999999999999,62.5
chexpert_nih,maviasb,seed_1,10,73.1,62.5
chexpert_nih,badd,seed_2,4,70.3,62.5
chexpert_nih,badd,seed_3,15,74.1,64.7
chexpert_nih,badd,seed_1,5,62.7,50.0
