Dataset,Method,Seed,Best Epoch,test_overall,test_worst_group_accuracy
speech_accent_archive,bias_ensemble,seed_4,4,80.2,71.1
speech_accent_archive,bias_ensemble,seed_2,5,78.9,68.89999999999999
speech_accent_archive,bias_ensemble,seed_5,0,79.7,73.3
speech_accent_archive,bias_ensemble,seed_3,3,79.80000000000001,73.3
speech_accent_archive,bias_ensemble,seed_1,3,80.4,71.7
speech_accent_archive,bpa,seed_4,2,79.4,71.1
speech_accent_archive,bpa,seed_2,58,81.10000000000001,77.8
speech_accent_archive,bpa,seed_5,10,78.7,71.1
speech_accent_archive,bpa,seed_3,55,78.0,71.7
speech_accent_archive,bpa,seed_1,36,79.80000000000001,73.9
speech_accent_archive,george,seed_4,48,80.30000000000001,73.9
speech_accent_archive,george,seed_2,69,83.0,76.1
speech_accent_archive,george,seed_5,28,82.3,80.4
speech_accent_archive,george,seed_3,52,80.9,75.6
speech_accent_archive,george,seed_1,70,82.39999999999999,75.6
speech_accent_archive,erm,seed_4,28,86.1,80.4
speech_accent_archive,erm,seed_2,23,83.3,73.3
speech_accent_archive,erm,seed_5,11,83.89999999999999,80.0
speech_accent_archive,erm,seed_3,13,83.3,77.8
speech_accent_archive,erm,seed_1,28,80.9,73.3
speech_accent_archive,debian,seed_4,16,83.0,77.8
speech_accent_archive,debian,seed_2,22,83.89999999999999,80.0
speech_accent_archive,debian,seed_5,31,81.0,73.3
speech_accent_archive,debian,seed_3,38,86.6,82.6
speech_accent_archive,debian,seed_1,25,83.89999999999999,77.8
speech_accent_archive,jtt,seed_4,80,68.2,65.2
speech_accent_archive,jtt,seed_2,18,77.5,73.9
speech_accent_archive,jtt,seed_5,25,76.8,73.3
speech_accent_archive,jtt,seed_3,17,81.69999999999999,77.8
speech_accent_archive,jtt,seed_1,19,77.0,73.3
speech_accent_archive,lff,seed_4,25,85.7,80.0
speech_accent_archive,lff,seed_2,28,85.7,82.19999999999999
speech_accent_archive,lff,seed_5,38,86.1,82.19999999999999
speech_accent_archive,lff,seed_3,19,85.9,82.19999999999999
speech_accent_archive,lff,seed_1,38,84.6,78.3
speech_accent_archive,sd,seed_4,55,86.2,82.19999999999999
speech_accent_archive,sd,seed_2,60,83.0,80.0
speech_accent_archive,sd,seed_5,24,84.39999999999999,77.8
speech_accent_archive,sd,seed_3,16,86.5,84.8
speech_accent_archive,sd,seed_1,41,84.0,77.8
speech_accent_archive,bb,seed_4,40,86.8,84.39999999999999
speech_accent_archive,bb,seed_2,19,85.3,79.3
speech_accent_archive,bb,seed_5,25,85.0,80.0
speech_accent_archive,bb,seed_3,52,83.39999999999999,82.19999999999999
speech_accent_archive,bb,seed_1,33,85.2,83.7
speech_accent_archive,end,seed_4,43,86.6,82.6
speech_accent_archive,end,seed_2,23,83.3,73.3
speech_accent_archive,end,seed_5,22,84.39999999999999,80.0
speech_accent_archive,end,seed_3,13,83.3,77.8
speech_accent_archive,end,seed_1,39,83.8,77.8
speech_accent_archive,groupdro,seed_4,47,82.8,75.6
speech_accent_archive,groupdro,seed_2,10,83.5,76.1
speech_accent_archive,groupdro,seed_5,3,80.9,73.3
speech_accent_archive,groupdro,seed_3,8,83.1,77.8
speech_accent_archive,groupdro,seed_1,22,82.8,77.8
speech_accent_archive,flac,seed_4,33,86.6,84.39999999999999
speech_accent_archive,flac,seed_2,64,83.7,78.3
speech_accent_archive,flac,seed_5,23,85.0,80.4
speech_accent_archive,flac,seed_3,24,84.6,80.0
speech_accent_archive,flac,seed_1,34,83.89999999999999,80.0
speech_accent_archive,badd,seed_4,30,86.5,82.6
speech_accent_archive,badd,seed_2,25,87.0,84.39999999999999
speech_accent_archive,badd,seed_5,25,86.3,78.3
speech_accent_archive,badd,seed_3,34,86.1,83.0
speech_accent_archive,badd,seed_1,28,86.8,82.6
