Dataset,Method,Seed,Best Epoch,test_accuracy
ucf101,erm,2,18,72.21279003961517
ucf101,erm,3,18,72.21279003961517
ucf101,erm,1,18,71.61856253537069
ucf101,debian,2,8,69.24165251839275
ucf101,debian,3,12,71.9298245614035
ucf101,debian,1,11,69.10016977928693
ucf101,jtt,2,21,66.07243916242219
ucf101,jtt,3,23,66.32710809281268
ucf101,jtt,1,18,63.86530843237125
ucf101,lff,2,17,72.2693831352575
ucf101,lff,3,13,73.68421052631578
ucf101,lff,1,16,71.76004527447651
ucf101,sd,2,26,74.22184493491794
ucf101,sd,3,12,75.80645161290323
ucf101,sd,1,21,73.5144312393888
ucf101,di,2,21,45.24617996604414
ucf101,di,3,23,50.82059988681381
ucf101,di,1,21,43.71816638370119
ucf101,bb,2,18,67.82682512733447
ucf101,bb,3,26,72.04301075268818
ucf101,bb,1,25,68.25127334465195
ucf101,end,2,8,71.78834182229767
ucf101,end,3,18,73.76910016977929
ucf101,end,1,17,71.87323146576118
ucf101,groupdro,2,4,66.8081494057725
ucf101,groupdro,3,6,71.1092246745897
ucf101,groupdro,1,6,68.9586870401811
ucf101,flac,2,28,73.57102433503113
ucf101,flac,3,11,74.44821731748726
ucf101,flac,1,17,72.0996038483305
ucf101,maviasb,2,15,75.80645161290323
ucf101,maviasb,3,15,77.24957555178268
ucf101,maviasb,1,14,75.18392756083759
ucf101,badd,2,21,71.33559705715903
ucf101,badd,3,18,76.31578947368422
ucf101,badd,1,16,71.9298245614035
ucf101,bias_ensemble,seed_2,25,73.28805885681948
ucf101,bias_ensemble,seed_3,13,74.87266553480475
ucf101,bias_ensemble,seed_1,27,73.82569326542162
ucf101,bpa,seed_2,15,75.63667232597624
ucf101,bpa,seed_3,21,75.94793435200906
ucf101,bpa,seed_1,26,75.52348613469157
ucf101,george,seed_2,13,55.715902659875496
ucf101,george,seed_3,12,52.77306168647426
ucf101,george,seed_1,12,55.43293718166383
ucf101,nsf,seed_2,0,68.9586870401811
ucf101,nsf,seed_1,0,68.76061120543294
