Method,MeanRank,StdRank
mavias,2.3333333333333335,1.2110601416389968
badd,4.166666666666667,3.868677637987775
flac,4.333333333333333,1.96638416050035
bpa,6.166666666666667,4.400757510550504
di,7.166666666666667,4.490731195102493
lff,7.666666666666667,2.503331114069145
bb,8.0,6.0332412515993425
debian,8.666666666666666,1.632993161855452
end,8.833333333333334,1.7224014243685082
george,8.833333333333334,4.622409184253019
sd,9.333333333333334,3.7237973450050514
groupdro,9.666666666666666,5.750362307426086
jtt,11.5,1.9748417658131499
bias_ensemble,11.5,4.230839160261236
erm,11.666666666666666,2.1602468994692865
