method,dataset,mean,std,rank
maviasb,ucf101_org,50.633147,1.040042,1
flac,ucf101_org,48.519553,1.592179,2
bias_ensemble,ucf101_org,48.324022,0.139665,3
jtt,ucf101_org,47.644320,1.458500,4
sd,ucf101_org,47.644320,0.792693,5
end,ucf101_org,47.495345,1.621395,6
lff,ucf101_org,47.234637,0.421778,7
erm,ucf101_org,47.039106,1.042540,8
bpa,ucf101_org,46.480447,1.403336,9
debian,ucf101_org,46.433892,1.977199,10
badd,ucf101_org,45.893855,4.209266,11
george,ucf101_org,43.519553,1.502160,12
groupdro,ucf101_org,43.100559,2.989871,13
bb,ucf101_org,40.391061,2.713382,14
di,ucf101_org,39.404097,2.478070,15
