Method,MeanRank,StdRank
mavias,2.3333333333333335,1.2110601416389968
badd,4.166666666666667,3.868677637987775
flac,4.333333333333333,1.96638416050035
bpa,6.166666666666667,4.400757510550504
di,7.333333333333333,4.844240566555987
lff,7.666666666666667,2.503331114069145
bb,8.166666666666666,6.2742861479746574
debian,8.666666666666666,1.632993161855452
end,8.833333333333334,1.7224014243685082
george,9.0,4.857983120596447
sd,9.333333333333334,3.7237973450050514
groupdro,9.833333333333334,5.946988033169956
jtt,11.666666666666666,2.1602468994692865
erm,11.666666666666666,2.1602468994692865
bias_ensemble,11.833333333333334,4.535048695071164
