method,dataset,mean,std,rank
maviasb,ucf101,76.079985,1.059642,1
bpa,ucf101,75.702698,0.219792,2
sd,ucf101,74.514243,1.173653,3
bias_ensemble,ucf101,73.995473,0.805831,4
flac,ucf101,73.372949,1.186769,5
badd,ucf101,73.193737,2.720052,6
lff,ucf101,72.571213,0.996960,7
end,ucf101,72.476891,1.119890,8
erm,ucf101,72.014714,0.343077,9
debian,ucf101,70.090549,1.594429,10
bb,ucf101,69.373703,2.321409,11
groupdro,ucf101,68.958687,2.150538,12
nsf,ucf101,68.859649,0.140061,13
jtt,ucf101,65.421619,1.353806,14
george,ucf101,54.640634,1.623541,15
di,ucf101,46.594982,3.738394,16
