Method,Seed,epoch,threshold,worst_group_acc,avg_acc
badd,0,40,20,0.3066666666666666,0.7615926171024272
badd,1,40,20,0.2063492063492063,0.7727739421663332
badd,2,40,20,0.3055555555555556,0.7579424801122915
flac,0,40,20,0.2941176470588235,0.7496469221505521
flac,1,40,20,0.2133333333333333,0.7567837438757543
flac,2,40,20,0.238095238095238,0.7452662629316227
maviasb,0,40,20,0.0666666666666666,0.7725617885091519
maviasb,1,40,20,0.16,0.7656667992214266
maviasb,2,40,20,0.1851851851851851,0.7590753427181385
erm,0,40,20,0.2352941176470588,0.7460015425653782
erm,1,40,20,0.1733333333333333,0.7597324680838735
erm,2,40,20,0.2222222222222222,0.7534369112702982
debian,0,40,20,0.2777777777777778,0.7460725373969808
debian,1,21,20,0.1904761904761904,0.7605267860840258
debian,2,21,20,0.238095238095238,0.7449567993267723
jtt,0,1,20,0.3015873015873015,0.714348330697633
jtt,1,1,20,0.1666666666666666,0.6946039878120267
jtt,2,1,20,0.1904761904761904,0.6953931294134738
lff,0,40,20,0.12,0.724390944627807
lff,1,40,20,0.1466666666666666,0.730634534223086
lff,2,40,20,0.1733333333333333,0.7170820272818431
sd,0,40,20,0.2857142857142857,0.7488474163153642
sd,1,40,20,0.2533333333333333,0.7592192283686358
sd,2,40,20,0.2698412698412698,0.7522796417010783
di,0,40,20,0.0,0.6627355787950742
di,1,40,20,0.0,0.6133420483808661
di,2,40,20,0.0,0.6635767141606832
bb,0,40,20,0.2539682539682539,0.7560628105828172
bb,1,40,20,0.1466666666666666,0.7485195455123013
bb,2,40,20,0.2222222222222222,0.7483311079239874
end,0,40,20,0.2352941176470588,0.7460015425653782
end,1,40,20,0.1733333333333333,0.7597324680838735
end,2,40,20,0.2222222222222222,0.7534369112702982
groupdro,0,21,20,0.0,0.6657761192285003
groupdro,1,21,20,0.0333333333333333,0.6692126377318001
groupdro,2,21,20,0.1666666666666666,0.6857867826339364
