method,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,MeanRank,StdRank
badd,1,3,9,1,2,1,2.8333333333333335,3.125166662222459
flac,3,5,2,5,1,5,3.5,1.760681686165901
mavias,10,2,1,3,3,4,3.8333333333333335,3.1885210782848317
di,12,4,4,4,9,3,6.0,3.6331804249169903
debian,4,7,8,8,6,6,6.5,1.5165750888103102
bb,8,12,3,2,12,2,6.5,4.806245936279167
end,6,9,7,6,7,7,7.0,1.0954451150103324
lff,9,6,5,7,5,10,7.0,2.0976176963403033
sd,2,10,6,11,11,9,8.166666666666666,3.5449494589721118
groupdro,11,1,11,12,4,12,8.5,4.764451699828639
erm,6,8,10,10,10,8,8.666666666666666,1.632993161855452
jtt,5,11,12,9,8,11,9.333333333333334,2.5819888974716116
