method,seed,epoch,threshold,worst_group_acc,avg_acc
badd,0,40,0,0.0,0.7679730854441407
badd,0,40,5,0.0666666666666666,0.7652972727470325
badd,0,40,10,0.0666666666666666,0.7701886047715258
badd,0,40,15,0.3066666666666666,0.7664281948544478
badd,0,40,20,0.3066666666666666,0.7615926171024272
badd,0,40,25,0.3066666666666666,0.7572850019465324
badd,0,40,30,0.3066666666666666,0.7725827350522881
badd,0,40,35,0.3066666666666666,0.7497238386568159
badd,0,40,40,0.4666666666666667,0.7595121957350217
badd,0,40,45,0.5151515151515151,0.8255059755059755
badd,1,40,0,0.0,0.777240532677094
badd,1,40,5,0.0,0.7741039834921042
badd,1,40,10,0.1333333333333333,0.7832573542381799
badd,1,40,15,0.2063492063492063,0.7772329369927221
badd,1,40,20,0.2063492063492063,0.7727739421663332
badd,1,40,25,0.2063492063492063,0.7635792810654068
badd,1,40,30,0.28,0.7866717786908689
badd,1,40,35,0.28,0.7689529238000352
badd,1,40,40,0.5,0.7925236196975328
badd,1,40,45,0.5050505050505051,0.8612022237022237
badd,2,40,0,0.0,0.7579436053277407
badd,2,40,5,0.0,0.7599424446854607
badd,2,40,10,0.0666666666666666,0.7743895460711353
badd,2,40,15,0.3055555555555556,0.7636753668821339
badd,2,40,20,0.3055555555555556,0.7579424801122915
badd,2,40,25,0.3174603174603174,0.7535283339479409
badd,2,40,30,0.3333333333333333,0.775800367152741
badd,2,40,35,0.3333333333333333,0.7585326154973125
badd,2,40,40,0.4444444444444444,0.7820719447621622
badd,2,40,45,0.4444444444444444,0.8431351056351056
flac,0,40,0,0.0,0.7599485550313273
flac,0,40,5,0.0666666666666666,0.7593488769954951
flac,0,40,10,0.0666666666666666,0.7587406572530314
flac,0,40,15,0.2941176470588235,0.7549517125851499
flac,0,40,20,0.2941176470588235,0.7496469221505521
flac,0,40,25,0.2941176470588235,0.7418349818153802
flac,0,40,30,0.3066666666666666,0.7570788575894531
flac,0,40,35,0.3066666666666666,0.7432428159323752
flac,0,40,40,0.4545454545454545,0.761918560505517
flac,0,40,45,0.4545454545454545,0.7862355237355236
flac,1,40,0,0.0,0.7636031614615774
flac,1,40,5,0.0,0.76180158886248
flac,1,40,10,0.0666666666666666,0.7739501121675788
flac,1,40,15,0.2133333333333333,0.769765791142945
flac,1,40,20,0.2133333333333333,0.7567837438757543
flac,1,40,25,0.2133333333333333,0.745348519335935
flac,1,40,30,0.2133333333333333,0.7623661247505383
flac,1,40,35,0.2133333333333333,0.7463639940153286
flac,1,40,40,0.4343434343434343,0.7787670612398873
flac,1,40,45,0.4343434343434343,0.8415082602582602
flac,2,40,0,0.0,0.7536396902470879
flac,2,40,5,0.0,0.7526939103341654
flac,2,40,10,0.0666666666666666,0.7637540565904007
flac,2,40,15,0.238095238095238,0.7529050478920529
flac,2,40,20,0.238095238095238,0.7452662629316227
flac,2,40,25,0.238095238095238,0.7428661990005969
flac,2,40,30,0.3466666666666667,0.7661984748927169
flac,2,40,35,0.3466666666666667,0.7493346409569398
flac,2,40,40,0.4343434343434343,0.776257248186596
flac,2,40,45,0.4343434343434343,0.8197797572797573
maviasb,0,40,0,0.0,0.7738099017414974
maviasb,0,40,5,0.0,0.7718609076026425
maviasb,0,40,10,0.0,0.7800801065890274
maviasb,0,40,15,0.0666666666666666,0.7733715734613346
maviasb,0,40,20,0.0666666666666666,0.7725617885091519
maviasb,0,40,25,0.0666666666666666,0.763285644290022
maviasb,0,40,30,0.0666666666666666,0.7686530845404611
maviasb,0,40,35,0.0666666666666666,0.7480759985839345
maviasb,0,40,40,0.3833333333333333,0.7829183839509926
maviasb,0,40,45,0.4814814814814814,0.8480857105857107
