method,worst_group_acc_mean,worst_group_acc_std,avg_acc_mean,avg_acc_std,rank
badd,0.27285714285714285,0.057600241804033205,0.7641030131270172,0.007727847877341292,1
sd,0.2696296296296296,0.01619151360925729,0.7534487621283595,0.005283819948409665,2
flac,0.24851540616246492,0.04138793620049865,0.7505656429859764,0.00581344371304057,3
debian,0.23544973544973538,0.04371087735941354,0.750518707602593,0.00868518531916375,4
jtt,0.2195767195767195,0.07201406131648783,0.7014484826410445,0.011178561894496408,5
end,0.21028322440087144,0.032660212031257026,0.7530569739731833,0.006873342939277876,6
erm,0.21028322440087144,0.032660212031257026,0.7530569739731833,0.006873342939277876,6
bb,0.2076190476190476,0.055121204547144496,0.7509711546730352,0.004410509846818718,8
lff,0.14666666666666664,0.026666666666666658,0.7240358353775788,0.006783228437315611,9
maviasb,0.1372839506172839,0.06243936244569286,0.765767976816239,0.006743792160035436,10
groupdro,0.06666666666666664,0.08819171036881966,0.6735918465314122,0.010699989007675034,11
di,0.0,0.0,0.6465514471122078,0.02876325781702672,12
