predictions,targets
79,80
79,80
79,80
79,80
79,80
90,80
86,80
79,80
80,80
78,80
79,80
79,80
79,80
79,80
79,80
34,80
76,80
79,80
79,80
76,80
79,80
2,80
21,80
79,80
79,80
79,80
79,80
79,80
79,80
79,80
79,80
79,80
79,80
23,80
23,80
21,80
98,80
54,80
43,80
6,80
79,80
79,80
79,80
79,80
15,80
79,80
86,80
34,80
93,80
34,80
16,80
76,80
16,80
16,80
34,80
22,80
93,80
16,80
34,80
93,80
40,80
34,80
34,80
34,80
79,80
79,80
79,80
93,80
79,80
79,80
34,80
79,80
34,80
79,80
34,80
34,80
38,80
34,80
57,80
34,80
34,80
34,80
54,80
93,80
54,80
12,80
54,80
54,80
54,80
76,80
79,80
33,80
79,80
23,80
79,80
34,80
34,80
79,80
79,80
79,80
34,80
79,80
12,80
6,80
76,80
86,80
34,80
40,80
34,80
34,80
34,80
34,80
79,80
34,80
23,80
90,80
99,80
34,80
99,80
93,80
6,80
34,80
15,80
82,80
57,80
79,80
79,80
79,80
79,80
79,80
23,80
79,80
79,80
79,80
79,80
34,80
15,80
79,80
15,80
34,80
34,80
28,80
86,80
12,80
13,80
34,80
78,80
70,80
34,80
34,80
79,80
79,80
79,80
2,80
79,80
79,80
93,80
79,80
79,80
88,80
8,9
88,9
67,9
8,9
21,9
34,68
21,68
21,68
21,68
2,68
61,68
63,68
63,68
53,68
53,68
34,68
28,68
99,68
33,68
78,68
44,68
39,68
86,68
44,68
44,68
93,68
93,68
78,68
44,68
67,68
100,68
21,68
85,68
86,68
88,68
34,68
21,68
33,68
21,68
21,68
34,68
34,68
2,68
2,68
2,68
6,68
88,68
86,68
88,68
88,68
67,68
67,68
67,68
67,68
67,68
8,68
8,68
67,68
8,68
67,68
34,68
21,68
85,68
67,68
88,68
88,68
74,68
88,68
88,68
88,68
67,68
67,68
67,68
67,68
67,68
88,68
93,68
93,68
67,68
93,68
86,68
86,68
44,68
85,68
20,68
63,68
34,68
34,68
99,68
99,68
93,68
61,68
34,68
63,68
67,68
93,68
88,68
69,68
47,68
47,68
99,68
28,68
99,68
21,68
99,68
88,68
88,68
88,68
88,68
88,68
85,68
21,68
67,68
17,68
67,68
88,68
93,68
88,68
2,68
22,68
67,68
52,68
67,68
67,68
67,68
100,68
67,68
85,68
88,68
88,68
22,68
22,68
51,68
22,68
93,68
15,68
36,68
93,68
93,68
93,68
67,68
88,68
67,68
67,68
67,68
67,68
93,68
99,68
65,68
67,68
39,68
39,68
39,68
44,68
39,68
67,68
21,68
15,68
21,68
13,68
28,68
44,68
44,68
44,68
67,68
10,68
52,68
34,68
63,68
16,68
33,68
34,68
15,68
2,68
21,68
34,68
21,68
33,68
21,68
95,68
67,68
25,68
67,68
85,68
21,68
67,68
67,68
67,68
67,68
67,68
93,68
67,68
88,68
67,68
67,68
67,68
50,68
67,68
50,68
93,68
100,68
86,68
86,68
86,68
86,68
23,33
23,33
23,33
32,33
32,33
1,33
32,33
32,33
32,33
22,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
2,33
32,33
2,33
32,33
32,33
32,33
32,33
2,33
1,33
98,33
32,33
32,33
32,33
32,33
32,33
32,33
96,33
22,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
28,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
98,33
32,33
99,33
32,33
2,33
32,33
2,33
32,33
32,33
32,33
32,33
23,33
32,33
91,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
2,33
32,33
32,33
2,33
32,33
32,33
32,33
32,33
32,33
23,33
22,33
2,33
98,33
23,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
2,33
32,33
32,33
32,33
2,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
98,33
32,33
2,33
32,33
32,33
32,33
57,33
32,33
100,33
91,33
55,33
32,33
32,33
32,33
32,33
32,33
100,33
32,33
32,33
32,33
2,33
2,33
32,33
2,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
32,33
93,94
93,94
47,94
93,94
93,94
93,94
93,94
93,94
57,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
15,94
93,94
93,94
60,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
57,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
93,94
34,94
34,94
93,94
76,94
93,94
93,94
93,94
