model_name,pretrained_tag,model_id,arch_family,vit_size,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,top1_accuracy,top5_accuracy,total_images,load_time_s,classifier_time_s,eval_time_s,resnet_depth,resnet_multiplier
ViT-gopt-16-SigLIP2-384,webli,ViT-gopt-16-SigLIP2-384_webli,SigLIP2,gopt,16.0,384,WebLI-10b,False,,1871.9,84.956,97.578,50000,177.6,43.0,656.0,,
ViT-gopt-16-SigLIP2-256,webli,ViT-gopt-16-SigLIP2-256_webli,SigLIP2,gopt,16.0,256,WebLI-10b,False,,1871.4,84.458,97.36,50000,272.2,43.5,271.7,,
ViT-H-14-378-quickgelu,dfn5b,ViT-H-14-378-quickgelu_dfn5b,CLIP,H,14.0,378,DFN-5b,True,1024.0,986.7,84.328,97.472,50000,15.1,46.0,571.2,,
ViT-SO400M-16-SigLIP2-512,webli,ViT-SO400M-16-SigLIP2-512_webli,SigLIP2,,16.0,512,WebLI-10b,False,,1136.6,84.278,97.47,50000,177.8,43.5,491.7,,
ViT-SO400M-16-SigLIP2-384,webli,ViT-SO400M-16-SigLIP2-384_webli,SigLIP2,,16.0,384,WebLI-10b,False,,1136.0,84.178,97.454,50000,142.9,43.6,266.9,,
ViT-SO400M-14-SigLIP2-378,webli,ViT-SO400M-14-SigLIP2-378_webli,SigLIP2,,14.0,378,WebLI-10b,False,,1136.0,84.094,97.396,50000,78.0,43.4,343.1,,
ViT-L-16-SigLIP2-512,webli,ViT-L-16-SigLIP2-512_webli,SigLIP2,L,16.0,512,WebLI-10b,False,,882.3,83.498,97.122,50000,134.7,32.6,364.0,,
PE-Core-L-14-336,meta,PE-Core-L-14-336_meta,PE,,14.0,336,MetaCLIP-5.4b,False,,671.1,83.484,97.338,50000,83.2,16.3,256.8,,
ViT-H-14-quickgelu,dfn5b,ViT-H-14-quickgelu_dfn5b,CLIP,H,14.0,224,DFN-5b,True,1024.0,986.1,83.4,97.164,50000,14.3,45.3,194.5,,
ViT-SO400M-16-SigLIP2-256,webli,ViT-SO400M-16-SigLIP2-256_webli,SigLIP2,,16.0,256,WebLI-10b,False,,1135.7,83.282,97.146,50000,125.3,43.6,114.8,,
ViT-L-16-SigLIP2-384,webli,ViT-L-16-SigLIP2-384_webli,SigLIP2,L,16.0,384,WebLI-10b,False,,881.9,83.232,97.116,50000,113.7,32.6,200.4,,
ViT-SO400M-14-SigLIP2,webli,ViT-SO400M-14-SigLIP2_webli,SigLIP2,,14.0,224,WebLI-10b,False,,1135.5,83.182,97.144,50000,153.5,43.6,114.3,,
ViT-SO400M-14-SigLIP-384,webli,ViT-SO400M-14-SigLIP-384_webli,SigLIP,,14.0,384,WebLI-10b,False,,878.0,83.088,97.036,50000,10.6,44.1,363.8,,
ViT-SO400M-14-SigLIP-378,webli,ViT-SO400M-14-SigLIP-378_webli,SigLIP,,14.0,378,WebLI-10b,False,,878.0,83.086,97.016,50000,54.6,42.8,356.7,,
ViT-H-14-378,dfn5b,ViT-H-14-378_dfn5b,CLIP,H,14.0,378,DFN-5b,False,1024.0,986.7,83.066,97.012,50000,49.8,65.4,818.6,,
ViT-bigG-14-worldwide-378,metaclip2_worldwide,ViT-bigG-14-worldwide-378_metaclip2_worldwide,CLIP,bigG,14.0,378,MetaCLIP2-2.5b,False,1280.0,3631.2,83.018,96.894,50000,622.6,75.3,1282.4,,
ViT-bigG-14-CLIPA-336,datacomp1b,ViT-bigG-14-CLIPA-336_datacomp1b,CLIPA,bigG,14.0,336,DataComp-1b,False,1280.0,2517.8,82.876,96.94,50000,131.6,31.6,999.4,,
ViT-H-14,dfn5b,ViT-H-14_dfn5b,CLIP,H,14.0,224,DFN-5b,False,1024.0,986.1,82.816,96.936,50000,53.7,66.0,284.8,,
ViT-bigG-14-CLIPA,datacomp1b,ViT-bigG-14-CLIPA_datacomp1b,CLIPA,bigG,14.0,224,DataComp-1b,False,1280.0,2517.2,82.682,96.776,50000,132.1,31.6,437.4,,
ViTamin-XL-336,datacomp1b,ViTamin-XL-336_datacomp1b,ViTamin,,14.0,336,DataComp-1b,False,,924.8,82.676,96.782,50000,17.9,55.1,302.0,,
ViT-L-16-SigLIP2-256,webli,ViT-L-16-SigLIP2-256_webli,SigLIP2,L,16.0,256,WebLI-10b,False,,881.5,82.35,96.778,50000,93.4,32.6,86.8,,
ViT-H-14-worldwide-378,metaclip2_worldwide,ViT-H-14-worldwide-378_metaclip2_worldwide,CLIP,H,14.0,378,MetaCLIP2-2.5b,False,1024.0,1859.4,82.254,96.66,50000,220.2,39.5,502.3,,
ViTamin-XL-256,datacomp1b,ViTamin-XL-256_datacomp1b,ViTamin,,14.0,256,DataComp-1b,False,,924.8,82.238,96.626,50000,18.4,55.1,170.7,,
ViT-L-16-SigLIP-384,webli,ViT-L-16-SigLIP-384_webli,SigLIP,L,16.0,384,WebLI-10b,False,,652.5,82.08,96.624,50000,96.4,32.4,200.8,,
ViTamin-L2-384,datacomp1b,ViTamin-L2-384_datacomp1b,ViTamin,,14.0,384,DataComp-1b,False,,688.0,82.05,96.662,50000,15.0,39.6,316.3,,
ViT-SO400M-14-SigLIP,webli,ViT-SO400M-14-SigLIP_webli,SigLIP,,14.0,224,WebLI-10b,False,,877.4,82.012,96.676,50000,16.6,11.3,114.0,,
ViT-L-14,dfn2b_s39b,ViT-L-14_dfn2b_s39b,CLIP,L,14.0,224,DFN-2b,False,768.0,427.6,82.008,96.644,50000,26.6,20.5,151.9,,
ViT-H-14,metaclip_altogether,ViT-H-14_metaclip_altogether,CLIP,H,14.0,224,MetaCLIP2-2.5b,False,1024.0,986.1,81.932,96.502,50000,56.2,65.6,285.8,,
MobileCLIP2-L-14,dfndr2b,MobileCLIP2-L-14_dfndr2b,MobileCLIP2,,14.0,224,DFNDR-2b,False,,427.6,81.906,96.886,50000,61.2,12.6,80.9,,
MobileCLIP2-S4,dfndr2b,MobileCLIP2-S4_dfndr2b,MobileCLIP2,,,256,DFNDR-2b,False,,445.4,81.85,96.784,50000,58.8,12.7,96.7,,
ViT-H-14-CLIPA-336,datacomp1b,ViT-H-14-CLIPA-336_datacomp1b,CLIPA,H,14.0,336,DataComp-1b,False,1024.0,968.6,81.798,96.594,50000,54.5,16.5,388.9,,
ViTamin-L-384,datacomp1b,ViTamin-L-384_datacomp1b,ViTamin,,14.0,384,DataComp-1b,False,,457.4,81.794,96.434,50000,10.3,12.9,316.4,,
ViTamin-L2-336,datacomp1b,ViTamin-L2-336_datacomp1b,ViTamin,,14.0,336,DataComp-1b,False,,687.9,81.79,96.628,50000,14.4,39.6,242.3,,
ViTamin-L-336,datacomp1b,ViTamin-L-336_datacomp1b,ViTamin,,14.0,336,DataComp-1b,False,,457.2,81.644,96.424,50000,10.0,12.9,242.5,,
ViT-H-14-CLIPA,datacomp1b,ViT-H-14-CLIPA_datacomp1b,CLIPA,H,14.0,224,DataComp-1b,False,1024.0,968.2,81.508,96.506,50000,58.1,16.5,171.0,,
ViTamin-L2-256,datacomp1b,ViTamin-L2-256_datacomp1b,ViTamin,,14.0,256,DataComp-1b,False,,687.7,81.4,96.4,50000,14.4,39.6,137.9,,
ViTamin-XL-384,datacomp1b,ViTamin-XL-384_datacomp1b,ViTamin,,14.0,256,DataComp-1b,False,,924.8,81.384,96.338,50000,18.0,55.1,170.7,,
ViT-L-14-quickgelu,dfn2b,ViT-L-14-quickgelu_dfn2b,CLIP,L,14.0,224,DFN-2b,True,768.0,427.6,81.382,96.454,50000,27.4,15.3,104.8,,
ViT-B-16-SigLIP2-512,webli,ViT-B-16-SigLIP2-512_webli,SigLIP2,B,16.0,512,WebLI-10b,False,,375.8,81.274,96.784,50000,55.5,10.8,130.7,,
ViT-H-14-worldwide-quickgelu,metaclip2_worldwide,ViT-H-14-worldwide-quickgelu_metaclip2_worldwide,CLIP,H,14.0,224,MetaCLIP2-2.5b,True,1024.0,1858.8,81.254,96.374,50000,31.1,45.9,195.1,,
ViT-bigG-14-quickgelu,metaclip_fullcc,ViT-bigG-14-quickgelu_metaclip_fullcc,CLIP,bigG,14.0,224,CommonCrawl-2.5b,True,1280.0,2539.6,81.198,96.236,50000,133.2,85.3,489.2,,
ViTamin-L-256,datacomp1b,ViTamin-L-256_datacomp1b,ViTamin,,14.0,256,DataComp-1b,False,,457.0,81.19,96.154,50000,10.1,12.9,138.1,,
ViTamin-L2,datacomp1b,ViTamin-L2_datacomp1b,ViTamin,,14.0,224,DataComp-1b,False,,687.6,80.894,96.242,50000,14.4,39.6,106.2,,
ViTamin-L,datacomp1b,ViTamin-L_datacomp1b,ViTamin,,14.0,224,DataComp-1b,False,,457.0,80.77,95.984,50000,10.3,12.9,106.2,,
MobileCLIP2-S3,dfndr2b,MobileCLIP2-S3_dfndr2b,MobileCLIP2,,,256,DFNDR-2b,False,,248.9,80.7,96.504,50000,30.8,12.7,65.9,,
ViT-B-16-SigLIP2-384,webli,ViT-B-16-SigLIP2-384_webli,SigLIP2,B,16.0,384,WebLI-10b,False,,375.5,80.65,96.616,50000,33.4,10.9,85.4,,
ViT-SO400M-16-SigLIP-i18n-256,webli,ViT-SO400M-16-SigLIP-i18n-256_webli,SigLIP,,16.0,256,WebLI-10b,False,,1127.4,80.648,96.116,50000,141.8,43.5,114.7,,
ViT-bigG-14,metaclip_fullcc,ViT-bigG-14_metaclip_fullcc,CLIP,bigG,14.0,224,CommonCrawl-2.5b,False,1280.0,2539.6,80.594,96.03,50000,36.7,129.8,769.2,,
ViT-L-14,dfn2b,ViT-L-14_dfn2b,CLIP,L,14.0,224,DFN-2b,False,768.0,427.6,80.548,96.104,50000,30.0,20.5,152.0,,
ViT-H-14-quickgelu,metaclip_fullcc,ViT-H-14-quickgelu_metaclip_fullcc,CLIP,H,14.0,224,CommonCrawl-2.5b,True,1024.0,986.1,80.51,96.23,50000,15.4,65.9,286.4,,
ViT-L-16-SigLIP-256,webli,ViT-L-16-SigLIP-256_webli,SigLIP,L,16.0,256,WebLI-10b,False,,652.2,80.444,96.07,50000,94.7,32.4,86.7,,
EVA02-L-14-336,merged2b_s6b_b61k,EVA02-L-14-336_merged2b_s6b_b61k,EVA,,14.0,336,Merged-2b,False,,428.1,80.378,96.356,50000,19.5,20.5,495.6,,
ViT-L-14-CLIPA-336,datacomp1b,ViT-L-14-CLIPA-336_datacomp1b,CLIPA,L,14.0,336,DataComp-1b,False,768.0,414.5,80.276,96.236,50000,27.6,5.4,205.2,,
ViT-bigG-14,laion2b_s39b_b160k,ViT-bigG-14_laion2b_s39b_b160k,CLIP,bigG,14.0,224,LAION-2b,False,1280.0,2539.6,80.092,96.042,50000,175.2,129.4,767.4,,
ViT-bigG-14-worldwide,metaclip2_worldwide,ViT-bigG-14-worldwide_metaclip2_worldwide,CLIP,bigG,14.0,224,MetaCLIP2-2.5b,False,1280.0,3630.4,79.91,95.082,50000,496.6,74.9,439.8,,
EVA02-L-14,merged2b_s4b_b131k,EVA02-L-14_merged2b_s4b_b131k,EVA,,14.0,224,Merged-2b,False,,427.8,79.764,95.966,50000,27.8,20.5,226.3,,
ViT-L-14-CLIPA,datacomp1b,ViT-L-14-CLIPA_datacomp1b,CLIPA,L,14.0,224,DataComp-1b,False,768.0,414.2,79.602,95.99,50000,26.2,5.4,90.5,,
convnext_xxlarge,laion2b_s34b_b82k_augreg_soup,convnext_xxlarge_laion2b_s34b_b82k_augreg_soup,ConvNeXt,,,256,LAION-2b,False,,1200.6,79.428,95.974,50000,61.5,39.5,205.9,,
MobileCLIP2-B,dfndr2b,MobileCLIP2-B_dfndr2b,MobileCLIP2,,,224,DFNDR-2b,False,,149.8,79.358,96.098,50000,22.2,7.3,46.9,,
EVA01-g-14-plus,merged2b_s11b_b114k,EVA01-g-14-plus_merged2b_s11b_b114k,EVA,,14.0,224,Merged-2b,False,,1366.6,79.318,95.964,50000,82.7,65.5,421.1,,
ViT-B-16-SigLIP2-256,webli,ViT-B-16-SigLIP2-256_webli,SigLIP2,B,16.0,256,WebLI-10b,False,,375.2,79.304,96.034,50000,37.7,10.9,59.7,,
convnext_xxlarge,laion2b_s34b_b82k_augreg_rewind,convnext_xxlarge_laion2b_s34b_b82k_augreg_rewind,ConvNeXt,,,256,LAION-2b,False,,1200.6,79.296,95.938,50000,67.1,65.5,343.5,,
ViT-L-14,datacomp_xl_s13b_b90k,ViT-L-14_datacomp_xl_s13b_b90k,CLIP,L,14.0,224,DataComp-1b,False,768.0,427.6,79.208,95.516,50000,27.6,20.5,151.9,,
ViT-L-14-quickgelu,metaclip_fullcc,ViT-L-14-quickgelu_metaclip_fullcc,CLIP,L,14.0,224,CommonCrawl-2.5b,True,768.0,427.6,79.192,95.884,50000,45.5,15.3,104.9,,
ViT-B-16-SigLIP-512,webli,ViT-B-16-SigLIP-512_webli,SigLIP,B,16.0,512,WebLI-10b,False,,203.8,79.12,95.724,50000,28.8,10.7,129.8,,
ViT-H-14-CLIPA-336,laion2b,ViT-H-14-CLIPA-336_laion2b,CLIPA,H,14.0,336,LAION-2b,False,1024.0,968.6,79.112,95.966,50000,53.3,16.5,388.9,,
