model_id,training_objective,training_data,arch_family,total_params_M,image_size,avg_accuracy,worst_group_accuracy
ViT-SO400M-14-SigLIP-384_webli,SigLIP,WebLI-10b,SigLIP,878.0,384,90.48,89.25
ViT-SO400M-14-SigLIP-378_webli,SigLIP,WebLI-10b,SigLIP,878.0,378,90.38,88.33
ViT-B-16-SigLIP-512_webli,SigLIP,WebLI-10b,SigLIP,203.8,512,89.14,87.83
ViT-SO400M-16-SigLIP-i18n-256_webli,SigLIP,WebLI-10b,SigLIP,1127.4,256,89.18,87.75
ViT-bigG-14_laion2b_s39b_b160k,Contrastive,LAION-2b,CLIP,2539.6,224,89.07,87.64
ViT-H-14-CLIPA-336_laion2b,Contrastive,LAION-2b,CLIPA,968.6,336,88.2,87.42
ViT-B-16-SigLIP-256_webli,SigLIP,WebLI-10b,SigLIP,203.2,256,89.32,87.42
ViT-B-16-SigLIP-384_webli,SigLIP,WebLI-10b,SigLIP,203.4,384,88.87,87.37
ViT-SO400M-16-SigLIP2-384_webli,SigLIP,WebLI-10b,SigLIP2,1136.0,384,88.64,87.27
ViT-B-16-SigLIP_webli,SigLIP,WebLI-10b,SigLIP,203.2,224,88.5,87.27
MobileCLIP-B_datacompdr,Contrastive,DataComp-1b,MobileCLIP,149.8,224,90.99,87.22
ViT-B-16-SigLIP2_webli,SigLIP,WebLI-10b,SigLIP2,375.2,224,90.53,87.22
ViT-L-14-CLIPA_datacomp1b,Contrastive,DataComp-1b,CLIPA,414.2,224,88.07,87.12
ViT-L-14-CLIPA-336_datacomp1b,Contrastive,DataComp-1b,CLIPA,414.5,336,87.8,87.1
ViT-SO400M-14-SigLIP2-378_webli,SigLIP,WebLI-10b,SigLIP2,1136.0,378,88.52,87.09
convnext_xxlarge_laion2b_s34b_b82k_augreg,Contrastive,LAION-2b,ConvNeXt,1200.6,256,88.16,87.06
ViT-H-14-quickgelu_dfn5b,Contrastive,DFN-5b,CLIP,986.1,224,88.87,87.04
ViT-SO400M-14-SigLIP2_webli,SigLIP,WebLI-10b,SigLIP2,1135.5,224,88.47,86.82
convnext_xxlarge_laion2b_s34b_b82k_augreg_soup,Contrastive,LAION-2b,ConvNeXt,1200.6,256,87.74,86.72
ViT-B-32-SigLIP2-256_webli,SigLIP,WebLI-10b,SigLIP2,376.9,256,90.83,86.67
ViT-B-16-SigLIP2-512_webli,SigLIP,WebLI-10b,SigLIP2,375.8,512,90.63,86.67
ViT-B-16-SigLIP2-384_webli,SigLIP,WebLI-10b,SigLIP2,375.5,384,90.42,86.67
ViT-B-16-SigLIP2-256_webli,SigLIP,WebLI-10b,SigLIP2,375.2,256,90.38,86.67
ViT-B-16_datacomp_xl_s13b_b90k,Contrastive,DataComp-1b,CLIP,149.6,224,90.07,86.67
convnext_xxlarge_laion2b_s34b_b82k_augreg_rewind,Contrastive,LAION-2b,ConvNeXt,1200.6,256,87.9,86.64
ViT-SO400M-16-SigLIP2-512_webli,SigLIP,WebLI-10b,SigLIP2,1136.6,512,88.64,86.59
ViT-SO400M-16-SigLIP2-256_webli,SigLIP,WebLI-10b,SigLIP2,1135.7,256,88.19,86.42
EVA01-g-14-plus_merged2b_s11b_b114k,Contrastive,Merged-2b,EVA,1366.6,224,88.73,86.4
ViTamin-L_datacomp1b,Contrastive,DataComp-1b,ViTamin,457.0,224,88.34,86.17
ViT-bigG-14-worldwide_metaclip2_worldwide,Contrastive,MetaCLIP2-2.5b,CLIP,3630.4,224,87.49,86.14
