model_id,training_objective,training_data,arch_family,total_params_M,image_size,avg_accuracy,worst_group_accuracy
ViT-SO400M-14-SigLIP-384_webli,SigLIP,WebLI-10b,SigLIP,878.0,384,91.4,86.4
ViT-SO400M-14-SigLIP_webli,SigLIP,WebLI-10b,SigLIP,877.4,224,90.8,86.4
ViT-H-14-quickgelu_dfn5b,Contrastive,DFN-5b,CLIP,986.1,224,90.0,84.8
MobileCLIP2-S3_dfndr2b,Contrastive,DFNDR-2b,MobileCLIP2,248.9,256,88.4,84.0
ViT-B-16-SigLIP2_webli,SigLIP,WebLI-10b,SigLIP2,375.2,224,89.4,83.2
MobileCLIP2-L-14_dfndr2b,Contrastive,DFNDR-2b,MobileCLIP2,427.6,224,89.4,82.4
ViT-B-16-SigLIP2-256_webli,SigLIP,WebLI-10b,SigLIP2,375.2,256,88.7,82.4
MobileCLIP2-S4_dfndr2b,Contrastive,DFNDR-2b,MobileCLIP2,445.4,256,87.2,82.4
ViT-H-14-378_dfn5b,Contrastive,DFN-5b,CLIP,986.7,378,86.6,82.4
ViT-SO400M-14-SigLIP-378_webli,SigLIP,WebLI-10b,SigLIP,878.0,378,90.7,81.6
MobileCLIP2-B_dfndr2b,Contrastive,DFNDR-2b,MobileCLIP2,149.8,224,87.0,80.8
ViT-SO400M-16-SigLIP-i18n-256_webli,SigLIP,WebLI-10b,SigLIP,1127.4,256,87.3,80.0
xlm-roberta-large-ViT-H-14_frozen_laion5b_s13b_b90k,Contrastive,LAION-5b,XLM-RoBERTa-CLIP,1193.0,224,89.1,79.2
ViT-B-32-SigLIP2-256_webli,SigLIP,WebLI-10b,SigLIP2,376.9,256,86.7,79.2
ViT-H-14-CLIPA_datacomp1b,Contrastive,DataComp-1b,CLIPA,968.2,224,85.9,79.2
ViT-B-16-SigLIP2-384_webli,SigLIP,WebLI-10b,SigLIP2,375.5,384,90.3,78.4
ViT-H-14-378-quickgelu_dfn5b,Contrastive,DFN-5b,CLIP,986.7,378,89.3,78.4
ViT-H-14-CLIPA-336_datacomp1b,Contrastive,DataComp-1b,CLIPA,968.6,336,86.6,78.4
ViT-bigG-14_laion2b_s39b_b160k,Contrastive,LAION-2b,CLIP,2539.6,224,83.5,78.4
ViT-B-16-SigLIP2-512_webli,SigLIP,WebLI-10b,SigLIP2,375.8,512,89.7,77.6
nllb-clip-large-siglip_v1,Contrastive,WebLI-10b,NLLB-SigLIP,1195.5,384,87.7,77.6
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,CoCa,LAION-2b,CoCa,638.5,224,87.2,77.6
ViT-B-32-quickgelu_metaclip_fullcc,Contrastive,CommonCrawl-2.5b,CLIP,151.3,224,81.5,77.6
ViT-H-14-worldwide-378_metaclip2_worldwide,Contrastive,MetaCLIP2-2.5b,CLIP,1859.4,378,86.8,76.8
PE-Core-B-16_meta,Contrastive,MetaCLIP-5.4b,PE,447.7,224,84.0,76.8
MobileCLIP2-S0_dfndr2b,Contrastive,DFNDR-2b,MobileCLIP2,74.8,256,83.2,76.8
ViT-L-14-quickgelu_dfn2b,Contrastive,DFN-2b,CLIP,427.6,224,86.1,76.0
ViT-g-14_laion2b_s12b_b42k,Contrastive,LAION-2b,CLIP,1366.7,224,85.5,76.0
PE-Core-S-16-384_meta,Contrastive,MetaCLIP-5.4b,PE,87.2,384,85.9,75.2
convnext_base_w_laion2b_s13b_b82k,Contrastive,LAION-2b,ConvNeXt,179.4,256,82.2,75.2
