model_id,training_objective,training_data,arch_family,total_params_M,image_size,worst_group_accuracy
ViT-SO400M-14-SigLIP-384_webli,SigLIP,WebLI-10b,SigLIP,878.0,384,89.25
ViT-SO400M-14-SigLIP-378_webli,SigLIP,WebLI-10b,SigLIP,878.0,378,88.33
ViT-B-16-SigLIP-512_webli,SigLIP,WebLI-10b,SigLIP,203.8,512,87.83
ViT-SO400M-16-SigLIP-i18n-256_webli,SigLIP,WebLI-10b,SigLIP,1127.4,256,87.75
ViT-bigG-14_laion2b_s39b_b160k,CLIP,LAION-2b,CLIP,2539.6,224,87.64
ViT-H-14-CLIPA-336_laion2b,CLIPA,LAION-2b,CLIPA,968.6,336,87.42
ViT-B-16-SigLIP-256_webli,SigLIP,WebLI-10b,SigLIP,203.2,256,87.42
ViT-B-16-SigLIP-384_webli,SigLIP,WebLI-10b,SigLIP,203.4,384,87.37
ViT-SO400M-16-SigLIP2-384_webli,SigLIP2,WebLI-10b,SigLIP2,1136.0,384,87.27
ViT-B-16-SigLIP_webli,SigLIP,WebLI-10b,SigLIP,203.2,224,87.27
MobileCLIP-B_datacompdr,CLIP,DataComp-1b,MobileCLIP,149.8,224,87.22
ViT-B-16-SigLIP2_webli,SigLIP2,WebLI-10b,SigLIP2,375.2,224,87.22
ViT-L-14-CLIPA_datacomp1b,CLIPA,DataComp-1b,CLIPA,414.2,224,87.12
ViT-L-14-CLIPA-336_datacomp1b,CLIPA,DataComp-1b,CLIPA,414.5,336,87.1
ViT-SO400M-14-SigLIP2-378_webli,SigLIP2,WebLI-10b,SigLIP2,1136.0,378,87.09
convnext_xxlarge_laion2b_s34b_b82k_augreg,CLIP,LAION-2b,ConvNeXt,1200.6,256,87.06
ViT-H-14-quickgelu_dfn5b,CLIP,DFN-5b,CLIP,986.1,224,87.04
ViT-SO400M-14-SigLIP2_webli,SigLIP2,WebLI-10b,SigLIP2,1135.5,224,86.82
convnext_xxlarge_laion2b_s34b_b82k_augreg_soup,CLIP,LAION-2b,ConvNeXt,1200.6,256,86.72
ViT-B-32-SigLIP2-256_webli,SigLIP2,WebLI-10b,SigLIP2,376.9,256,86.67
ViT-B-16-SigLIP2-512_webli,SigLIP2,WebLI-10b,SigLIP2,375.8,512,86.67
ViT-B-16-SigLIP2-384_webli,SigLIP2,WebLI-10b,SigLIP2,375.5,384,86.67
ViT-B-16-SigLIP2-256_webli,SigLIP2,WebLI-10b,SigLIP2,375.2,256,86.67
ViT-B-16_datacomp_xl_s13b_b90k,CLIP,DataComp-1b,CLIP,149.6,224,86.67
convnext_xxlarge_laion2b_s34b_b82k_augreg_rewind,CLIP,LAION-2b,ConvNeXt,1200.6,256,86.64
ViT-SO400M-16-SigLIP2-512_webli,SigLIP2,WebLI-10b,SigLIP2,1136.6,512,86.59
ViT-SO400M-16-SigLIP2-256_webli,SigLIP2,WebLI-10b,SigLIP2,1135.7,256,86.42
EVA01-g-14-plus_merged2b_s11b_b114k,EVA,Merged-2b,EVA,1366.6,224,86.4
ViTamin-L_datacomp1b,CLIP,DataComp-1b,ViTamin,457.0,224,86.17
ViT-bigG-14-worldwide_metaclip2_worldwide,CLIP,MetaCLIP2-2.5b,CLIP,3630.4,224,86.14
