model_id,training_objective,training_data,arch_family,total_params_M,image_size,worst_group_accuracy
ViT-SO400M-14-SigLIP-384_webli,SigLIP,WebLI-10b,SigLIP,878.0,384,86.4
ViT-SO400M-14-SigLIP_webli,SigLIP,WebLI-10b,SigLIP,877.4,224,86.4
ViT-H-14-quickgelu_dfn5b,CLIP,DFN-5b,CLIP,986.1,224,84.8
MobileCLIP2-S3_dfndr2b,CLIP,DFNDR-2b,MobileCLIP2,248.9,256,84.0
ViT-B-16-SigLIP2_webli,SigLIP2,WebLI-10b,SigLIP2,375.2,224,83.2
MobileCLIP2-L-14_dfndr2b,CLIP,DFNDR-2b,MobileCLIP2,427.6,224,82.4
ViT-B-16-SigLIP2-256_webli,SigLIP2,WebLI-10b,SigLIP2,375.2,256,82.4
MobileCLIP2-S4_dfndr2b,CLIP,DFNDR-2b,MobileCLIP2,445.4,256,82.4
ViT-H-14-378_dfn5b,CLIP,DFN-5b,CLIP,986.7,378,82.4
ViT-SO400M-14-SigLIP-378_webli,SigLIP,WebLI-10b,SigLIP,878.0,378,81.6
MobileCLIP2-B_dfndr2b,CLIP,DFNDR-2b,MobileCLIP2,149.8,224,80.8
ViT-SO400M-16-SigLIP-i18n-256_webli,SigLIP,WebLI-10b,SigLIP,1127.4,256,80.0
xlm-roberta-large-ViT-H-14_frozen_laion5b_s13b_b90k,CLIP,LAION-5b,XLM-RoBERTa-CLIP,1193.0,224,79.2
ViT-B-32-SigLIP2-256_webli,SigLIP2,WebLI-10b,SigLIP2,376.9,256,79.2
ViT-H-14-CLIPA_datacomp1b,CLIPA,DataComp-1b,CLIPA,968.2,224,79.2
ViT-B-16-SigLIP2-384_webli,SigLIP2,WebLI-10b,SigLIP2,375.5,384,78.4
ViT-H-14-378-quickgelu_dfn5b,CLIP,DFN-5b,CLIP,986.7,378,78.4
ViT-H-14-CLIPA-336_datacomp1b,CLIPA,DataComp-1b,CLIPA,968.6,336,78.4
ViT-bigG-14_laion2b_s39b_b160k,CLIP,LAION-2b,CLIP,2539.6,224,78.4
ViT-B-16-SigLIP2-512_webli,SigLIP2,WebLI-10b,SigLIP2,375.8,512,77.6
nllb-clip-large-siglip_v1,CLIP,WebLI-10b,NLLB-SigLIP,1195.5,384,77.6
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,CoCa,LAION-2b,CoCa,638.5,224,77.6
ViT-B-32-quickgelu_metaclip_fullcc,CLIP,CommonCrawl-2.5b,CLIP,151.3,224,77.6
ViT-H-14-worldwide-378_metaclip2_worldwide,CLIP,MetaCLIP2-2.5b,CLIP,1859.4,378,76.8
PE-Core-B-16_meta,CLIP,MetaCLIP-5.4b,PE,447.7,224,76.8
MobileCLIP2-S0_dfndr2b,CLIP,DFNDR-2b,MobileCLIP2,74.8,256,76.8
ViT-L-14-quickgelu_dfn2b,CLIP,DFN-2b,CLIP,427.6,224,76.0
ViT-g-14_laion2b_s12b_b42k,CLIP,LAION-2b,CLIP,1366.7,224,76.0
PE-Core-S-16-384_meta,CLIP,MetaCLIP-5.4b,PE,87.2,384,75.2
convnext_base_w_laion2b_s13b_b82k,CLIP,LAION-2b,ConvNeXt,179.4,256,75.2
