model_id,model_name,training_objective,arch_family,total_params_M,image_size,training_data,top1_accuracy,worst_group_accuracy,avg_accuracy,accuracy_gap,imagenet_acc,wg_acc,robustness_gap,robustness_ratio
ViT-gopt-16-SigLIP2-384_webli,ViT-gopt-16-SigLIP2-384,SigLIP2,SigLIP2,1871.9,384,WebLI-10b,0.84956,0.736,0.897,0.16100000000000003,0.84956,0.736,0.11356,0.8663308065351476
ViT-gopt-16-SigLIP2-256_webli,ViT-gopt-16-SigLIP2-256,SigLIP2,SigLIP2,1871.4,256,WebLI-10b,0.84458,0.504,0.819,0.31499999999999995,0.84458,0.504,0.34058,0.5967463117762675
ViT-H-14-378-quickgelu_dfn5b,ViT-H-14-378-quickgelu,CLIP,CLIP,986.7,378,DFN-5b,0.84328,0.784,0.893,0.10899999999999999,0.84328,0.784,0.05928,0.9297030642254056
ViT-SO400M-16-SigLIP2-512_webli,ViT-SO400M-16-SigLIP2-512,SigLIP2,SigLIP2,1136.6,512,WebLI-10b,0.8427800000000001,0.64,0.872,0.23199999999999998,0.8427800000000001,0.64,0.20278000000000007,0.7593915375305536
ViT-SO400M-16-SigLIP2-384_webli,ViT-SO400M-16-SigLIP2-384,SigLIP2,SigLIP2,1136.0,384,WebLI-10b,0.84178,0.488,0.832,0.344,0.84178,0.488,0.35378,0.5797239183634679
ViT-SO400M-14-SigLIP2-378_webli,ViT-SO400M-14-SigLIP2-378,SigLIP2,SigLIP2,1136.0,378,WebLI-10b,0.8409399999999999,0.472,0.822,0.35,0.8409399999999999,0.472,0.36893999999999993,0.5612766665873903
ViT-L-16-SigLIP2-512_webli,ViT-L-16-SigLIP2-512,SigLIP2,SigLIP2,882.3,512,WebLI-10b,0.83498,0.52,0.813,0.2929999999999999,0.83498,0.52,0.31498000000000004,0.6227694076504826
PE-Core-L-14-336_meta,PE-Core-L-14-336,CLIP,PE,671.1,336,MetaCLIP-5.4b,0.8348399999999999,0.64,0.85,0.20999999999999996,0.8348399999999999,0.64,0.1948399999999999,0.7666139619567822
ViT-H-14-quickgelu_dfn5b,ViT-H-14-quickgelu,CLIP,CLIP,986.1,224,DFN-5b,0.8340000000000001,0.848,0.9,0.052000000000000046,0.8340000000000001,0.848,-0.013999999999999901,1.0167865707434052
ViT-SO400M-16-SigLIP2-256_webli,ViT-SO400M-16-SigLIP2-256,SigLIP2,SigLIP2,1135.7,256,WebLI-10b,0.83282,0.448,0.827,0.37899999999999995,0.83282,0.448,0.38482,0.5379313657212843
ViT-L-16-SigLIP2-384_webli,ViT-L-16-SigLIP2-384,SigLIP2,SigLIP2,881.9,384,WebLI-10b,0.83232,0.384,0.756,0.372,0.83232,0.384,0.44831999999999994,0.46136101499423304
ViT-SO400M-14-SigLIP2_webli,ViT-SO400M-14-SigLIP2,SigLIP2,SigLIP2,1135.5,224,WebLI-10b,0.83182,0.464,0.834,0.36999999999999994,0.83182,0.464,0.36782,0.5578129883869106
ViT-SO400M-14-SigLIP-384_webli,ViT-SO400M-14-SigLIP-384,SigLIP,SigLIP,878.0,384,WebLI-10b,0.83088,0.864,0.914,0.050000000000000044,0.83088,0.864,-0.03312000000000004,1.0398613518197575
ViT-SO400M-14-SigLIP-378_webli,ViT-SO400M-14-SigLIP-378,SigLIP,SigLIP,878.0,378,WebLI-10b,0.8308599999999999,0.816,0.907,0.09100000000000008,0.8308599999999999,0.816,0.014859999999999984,0.9821149170738753
ViT-H-14-378_dfn5b,ViT-H-14-378,CLIP,CLIP,986.7,378,DFN-5b,0.8306600000000001,0.824,0.866,0.04200000000000004,0.8306600000000001,0.824,0.00666000000000011,0.9919822791515179
ViT-bigG-14-worldwide-378_metaclip2_worldwide,ViT-bigG-14-worldwide-378,CLIP,CLIP,3631.2,378,MetaCLIP2-2.5b,0.83018,0.312,0.756,0.444,0.83018,0.312,0.5181800000000001,0.3758221108675227
