base_config,arch_1,arch_2,metric_1,metric_2,effect_pp,training_data,image_size,patch_size,params_bucket
DataComp-1b / 224px / p14 / 400-600M,CLIPA,ViTamin,87.11989351899253,86.17120106171201,0.9486924572805151,DataComp-1b,224,14.0,400-600M
DataComp-1b / 224px / p14 / 400-600M,CLIPA,CLIP,87.11989351899253,80.55555555555556,6.564337963436969,DataComp-1b,224,14.0,400-600M
DataComp-1b / 224px / p14 / 400-600M,ViTamin,CLIP,86.17120106171201,80.55555555555556,5.615645506156454,DataComp-1b,224,14.0,400-600M
DataComp-1b / 224px / p14 / 100-200M,MobileCLIP,ViTamin,87.22222222222223,76.66666666666666,10.555555555555571,DataComp-1b,224,14.0,100-200M
DataComp-1b / 224px / p14 / 600M-1B,CLIPA,ViTamin,84.08759124087591,80.55555555555556,3.532035685320352,DataComp-1b,224,14.0,600M-1B
DataComp-1b / 224px / p16 / 100-200M,MobileCLIP,CLIP,81.66666666666667,75.55555555555556,6.111111111111114,DataComp-1b,224,16.0,100-200M
DataComp-1b / 336px / p14 / 400-600M,CLIPA,ViTamin,87.09941640217058,86.11111111111111,0.9883052910594614,DataComp-1b,336,14.0,400-600M
DataComp-1b / 336px / p14 / 600M-1B,CLIPA,ViTamin,84.1672196416722,78.7202315122023,5.446988129469901,DataComp-1b,336,14.0,600M-1B
LAION-2b / 224px / p14 / 600M-1B,CLIP,CoCa,84.44444444444444,80.83333333333333,3.6111111111111143,LAION-2b,224,14.0,600M-1B
LAION-2b / 224px / p14 / 1-2B,CLIP,NNLB-CLIP,78.8888888888889,21.66666666666666,57.22222222222224,LAION-2b,224,14.0,1-2B
LAION-2b / 224px / p32 / 200-400M,RoBERTa-CLIP,CoCa,77.77777777777779,34.93077596896579,42.847001808811996,LAION-2b,224,32.0,200-400M
WebLI-10b / 224px / p16 / 200-400M,SigLIP,SigLIP2,87.27347189515716,87.22222222222223,0.051249672934929436,WebLI-10b,224,16.0,200-400M
WebLI-10b / 256px / p16 / 200-400M,SigLIP2,SigLIP,86.66666666666667,86.63474958571885,0.031917080947820864,WebLI-10b,256,16.0,200-400M
WebLI-10b / 256px / p16 / 600M-1B,SigLIP,SigLIP2,85.92198218490836,85.51243984846934,0.40954233643901716,WebLI-10b,256,16.0,600M-1B
WebLI-10b / 256px / p16 / 1-2B,SigLIP,SigLIP2,87.75049767750498,86.17282686597727,1.5776708115277103,WebLI-10b,256,16.0,1-2B
WebLI-10b / 384px / p16 / 200-400M,SigLIP,SigLIP2,87.36561892085595,86.66666666666667,0.6989522541892796,WebLI-10b,384,16.0,200-400M
WebLI-10b / 384px / p16 / 600M-1B,SigLIP2,SigLIP,85.52267840688032,84.28666224286663,1.2360161640136909,WebLI-10b,384,16.0,600M-1B
WebLI-10b / 512px / p16 / 200-400M,SigLIP,SigLIP2,87.82635404934986,86.66666666666667,1.1596873826831882,WebLI-10b,512,16.0,200-400M
