base_config,arch_1,arch_2,metric_1,metric_2,effect_pp,training_data,image_size,patch_size,params_bucket
DataComp-1b / 224px / p14 / 400-600M,ViTamin,CLIPA,80.77,79.602,1.1679999999999922,DataComp-1b,224,14.0,400-600M
DataComp-1b / 224px / p14 / 400-600M,ViTamin,CLIP,80.77,79.208,1.5619999999999976,DataComp-1b,224,14.0,400-600M
DataComp-1b / 224px / p14 / 400-600M,CLIPA,CLIP,79.602,79.208,0.39400000000000546,DataComp-1b,224,14.0,400-600M
DataComp-1b / 224px / p14 / 100-200M,MobileCLIP,ViTamin,76.834,66.23,10.604,DataComp-1b,224,14.0,100-200M
DataComp-1b / 224px / p14 / 600M-1B,CLIPA,ViTamin,81.508,80.894,0.6139999999999901,DataComp-1b,224,14.0,600M-1B
DataComp-1b / 224px / p16 / 100-200M,MobileCLIP,CLIP,77.19,68.291,8.899000000000001,DataComp-1b,224,16.0,100-200M
DataComp-1b / 336px / p14 / 400-600M,ViTamin,CLIPA,81.644,80.276,1.3680000000000092,DataComp-1b,336,14.0,400-600M
DataComp-1b / 336px / p14 / 600M-1B,ViTamin,CLIPA,82.233,81.798,0.4350000000000023,DataComp-1b,336,14.0,600M-1B
LAION-2b / 224px / p14 / 600M-1B,CLIP,CoCa,77.928,73.89099999999999,4.037000000000006,LAION-2b,224,14.0,600M-1B
LAION-2b / 224px / p14 / 1-2B,CLIP,NNLB-CLIP,77.53999999999999,36.714,40.82599999999999,LAION-2b,224,14.0,1-2B
LAION-2b / 224px / p32 / 200-400M,CoCa,RoBERTa-CLIP,63.44799999999999,61.75000000000001,1.6979999999999862,LAION-2b,224,32.0,200-400M
WebLI-10b / 224px / p16 / 200-400M,SigLIP2,SigLIP,78.476,76.042,2.4339999999999975,WebLI-10b,224,16.0,200-400M
WebLI-10b / 256px / p16 / 200-400M,SigLIP2,SigLIP,79.304,75.836,3.4680000000000035,WebLI-10b,256,16.0,200-400M
WebLI-10b / 256px / p16 / 600M-1B,SigLIP2,SigLIP,82.35,80.444,1.9059999999999917,WebLI-10b,256,16.0,600M-1B
WebLI-10b / 256px / p16 / 1-2B,SigLIP2,SigLIP,83.87,80.648,3.2220000000000084,WebLI-10b,256,16.0,1-2B
WebLI-10b / 384px / p16 / 200-400M,SigLIP2,SigLIP,80.65,78.484,2.166000000000011,WebLI-10b,384,16.0,200-400M
WebLI-10b / 384px / p16 / 600M-1B,SigLIP2,SigLIP,83.232,82.08,1.152000000000001,WebLI-10b,384,16.0,600M-1B
WebLI-10b / 512px / p16 / 200-400M,SigLIP2,SigLIP,81.274,79.12,2.1539999999999964,WebLI-10b,512,16.0,200-400M
