base_config,arch_1,arch_2,metric_1,metric_2,effect_pp,training_data,image_size,patch_size,params_bucket
DataComp-1b / 224px / p14 / 400-600M,CLIP,ViTamin,64.8,62.4,2.3999999999999986,DataComp-1b,224,14.0,400-600M
DataComp-1b / 224px / p14 / 400-600M,CLIP,CLIPA,64.8,52.800000000000004,11.999999999999993,DataComp-1b,224,14.0,400-600M
DataComp-1b / 224px / p14 / 400-600M,ViTamin,CLIPA,62.4,52.800000000000004,9.599999999999994,DataComp-1b,224,14.0,400-600M
DataComp-1b / 224px / p14 / 100-200M,ViTamin,MobileCLIP,68.39999999999999,67.2,1.1999999999999886,DataComp-1b,224,14.0,100-200M
DataComp-1b / 224px / p14 / 600M-1B,CLIPA,ViTamin,79.2,47.199999999999996,32.00000000000001,DataComp-1b,224,14.0,600M-1B
DataComp-1b / 224px / p16 / 100-200M,CLIP,MobileCLIP,61.199999999999996,52.800000000000004,8.399999999999991,DataComp-1b,224,16.0,100-200M
DataComp-1b / 336px / p14 / 400-600M,ViTamin,CLIPA,63.2,58.4,4.800000000000004,DataComp-1b,336,14.0,400-600M
DataComp-1b / 336px / p14 / 600M-1B,CLIPA,ViTamin,78.4,58.400000000000006,20.0,DataComp-1b,336,14.0,600M-1B
LAION-2b / 224px / p14 / 600M-1B,CoCa,CLIP,71.2,48.8,22.400000000000006,LAION-2b,224,14.0,600M-1B
LAION-2b / 224px / p14 / 1-2B,NNLB-CLIP,CLIP,73.6,70.0,3.5999999999999943,LAION-2b,224,14.0,1-2B
LAION-2b / 224px / p32 / 200-400M,RoBERTa-CLIP,CoCa,66.4,32.800000000000004,33.6,LAION-2b,224,32.0,200-400M
WebLI-10b / 224px / p16 / 200-400M,SigLIP2,SigLIP,83.2,62.4,20.800000000000004,WebLI-10b,224,16.0,200-400M
WebLI-10b / 256px / p16 / 200-400M,SigLIP2,SigLIP,82.39999999999999,61.60000000000001,20.799999999999983,WebLI-10b,256,16.0,200-400M
WebLI-10b / 256px / p16 / 600M-1B,SigLIP,SigLIP2,36.8,34.4,2.3999999999999986,WebLI-10b,256,16.0,600M-1B
WebLI-10b / 256px / p16 / 1-2B,SigLIP,SigLIP2,80.0,47.599999999999994,32.400000000000006,WebLI-10b,256,16.0,1-2B
WebLI-10b / 384px / p16 / 200-400M,SigLIP2,SigLIP,78.4,67.2,11.200000000000003,WebLI-10b,384,16.0,200-400M
WebLI-10b / 384px / p16 / 600M-1B,SigLIP,SigLIP2,56.8,38.4,18.4,WebLI-10b,384,16.0,600M-1B
WebLI-10b / 512px / p16 / 200-400M,SigLIP2,SigLIP,77.60000000000001,65.60000000000001,12.0,WebLI-10b,512,16.0,200-400M
