base_config,from_res,to_res,from_metric,to_metric,effect_pp
SigLIP / WebLI-10b / 16.0 / B,224,256,87.27347189515716,86.63474958571885,-0.6387223094383074
SigLIP / WebLI-10b / 16.0 / B,224,384,87.27347189515716,87.36561892085595,0.09214702569879307
SigLIP / WebLI-10b / 16.0 / B,224,512,87.27347189515716,87.82635404934986,0.5528821541927016
SigLIP / WebLI-10b / 16.0 / B,256,384,86.63474958571885,87.36561892085595,0.7308693351371005
SigLIP / WebLI-10b / 16.0 / B,256,512,86.63474958571885,87.82635404934986,1.191604463631009
SigLIP / WebLI-10b / 16.0 / B,384,512,87.36561892085595,87.82635404934986,0.4607351284939085
CLIP / DFN-5b / 14.0 / H,224,378,86.57454808140793,85.83333333333334,-0.741214748074583
CLIP / LAION-400m / 16.0 / B,224,240,80.27777777777779,74.44444444444444,-5.833333333333343
CLIP / MetaCLIP2-2.5b / 14.0 / H,224,378,82.96296296296296,84.44444444444444,1.481481481481481
CLIP / OpenAI-400m / 14.0 / L,224,336,80.55555555555556,78.88888888888889,-1.6666666666666714
SigLIP2 / WebLI-10b / 16.0 / B,224,256,87.22222222222223,86.66666666666667,-0.5555555555555571
SigLIP2 / WebLI-10b / 16.0 / B,224,384,87.22222222222223,86.66666666666667,-0.5555555555555571
SigLIP2 / WebLI-10b / 16.0 / B,224,512,87.22222222222223,86.66666666666667,-0.5555555555555571
SigLIP2 / WebLI-10b / 16.0 / B,256,384,86.66666666666667,86.66666666666667,0.0
SigLIP2 / WebLI-10b / 16.0 / B,256,512,86.66666666666667,86.66666666666667,0.0
SigLIP2 / WebLI-10b / 16.0 / B,384,512,86.66666666666667,86.66666666666667,0.0
SigLIP2 / WebLI-10b / 16.0 / L,256,384,85.51243984846934,85.52267840688032,0.010238558410975429
SigLIP2 / WebLI-10b / 16.0 / L,256,512,85.51243984846934,85.63530254940105,0.12286270093170515
SigLIP2 / WebLI-10b / 16.0 / L,384,512,85.52267840688032,85.63530254940105,0.11262414252072972
CLIP / MetaCLIP2-2.5b / 14.0 / bigG,224,378,86.14465826144658,85.9721300597213,-0.17252820172528516
CLIPA / DataComp-1b / 14.0 / H,224,336,84.08759124087591,84.1672196416722,0.0796284007962953
CLIPA / DataComp-1b / 14.0 / L,224,336,87.11989351899253,87.09941640217058,-0.020477116821950858
CLIPA / DataComp-1b / 14.0 / bigG,224,336,85.55555555555556,85.0,-0.5555555555555571
SigLIP / WebLI-10b / 16.0 / L,256,384,85.92198218490836,84.28666224286663,-1.6353199420417326
SigLIP2 / WebLI-10b / 16.0 / gopt,256,384,85.92198218490836,85.7786423671547,-0.143339817753656
