base_config,data_1,data_2,metric_1,metric_2,effect_pp
CLIP / 224 / B / 32.0,DataComp-12.8b,LAION-400m,83.33333333333334,81.94444444444446,1.3888888888888857
CLIP / 224 / B / 32.0,DataComp-12.8b,LAION-2b,83.33333333333334,80.27777777777779,3.055555555555557
CLIP / 224 / B / 32.0,DataComp-12.8b,CommonCrawl-2.5b,83.33333333333334,76.38888888888889,6.944444444444457
CLIP / 224 / B / 32.0,DataComp-12.8b,OpenAI-400m,83.33333333333334,75.83333333333333,7.500000000000014
CLIP / 224 / B / 32.0,DataComp-12.8b,MetaCLIP-400m,83.33333333333334,70.83333333333334,12.5
CLIP / 224 / B / 32.0,DataComp-12.8b,DataComp-128m,83.33333333333334,48.33333333333333,35.000000000000014
CLIP / 224 / B / 32.0,DataComp-12.8b,CommonPool-13m,83.33333333333334,44.43928724465225,38.894046088681094
CLIP / 224 / B / 32.0,DataComp-12.8b,CommonPool-128m,83.33333333333334,40.61823828538275,42.71509504795059
CLIP / 224 / B / 32.0,DataComp-12.8b,DataComp-13m,83.33333333333334,32.7019555646565,50.63137776867684
CLIP / 224 / B / 32.0,LAION-400m,LAION-2b,81.94444444444446,80.27777777777779,1.6666666666666714
CLIP / 224 / B / 32.0,LAION-400m,CommonCrawl-2.5b,81.94444444444446,76.38888888888889,5.555555555555571
CLIP / 224 / B / 32.0,LAION-400m,OpenAI-400m,81.94444444444446,75.83333333333333,6.1111111111111285
CLIP / 224 / B / 32.0,LAION-400m,MetaCLIP-400m,81.94444444444446,70.83333333333334,11.111111111111114
CLIP / 224 / B / 32.0,LAION-400m,DataComp-128m,81.94444444444446,48.33333333333333,33.61111111111113
CLIP / 224 / B / 32.0,LAION-400m,CommonPool-13m,81.94444444444446,44.43928724465225,37.50515719979221
CLIP / 224 / B / 32.0,LAION-400m,CommonPool-128m,81.94444444444446,40.61823828538275,41.326206159061705
CLIP / 224 / B / 32.0,LAION-400m,DataComp-13m,81.94444444444446,32.7019555646565,49.242488879787956
CLIP / 224 / B / 32.0,LAION-2b,CommonCrawl-2.5b,80.27777777777779,76.38888888888889,3.8888888888889
CLIP / 224 / B / 32.0,LAION-2b,OpenAI-400m,80.27777777777779,75.83333333333333,4.444444444444457
CLIP / 224 / B / 32.0,LAION-2b,MetaCLIP-400m,80.27777777777779,70.83333333333334,9.444444444444443
CLIP / 224 / B / 32.0,LAION-2b,DataComp-128m,80.27777777777779,48.33333333333333,31.944444444444457
CLIP / 224 / B / 32.0,LAION-2b,CommonPool-13m,80.27777777777779,44.43928724465225,35.83849053312554
CLIP / 224 / B / 32.0,LAION-2b,CommonPool-128m,80.27777777777779,40.61823828538275,39.659539492395034
CLIP / 224 / B / 32.0,LAION-2b,DataComp-13m,80.27777777777779,32.7019555646565,47.575822213121285
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,OpenAI-400m,76.38888888888889,75.83333333333333,0.5555555555555571
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,MetaCLIP-400m,76.38888888888889,70.83333333333334,5.555555555555543
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,DataComp-128m,76.38888888888889,48.33333333333333,28.055555555555557
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,CommonPool-13m,76.38888888888889,44.43928724465225,31.949601644236637
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,CommonPool-128m,76.38888888888889,40.61823828538275,35.770650603506134
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,DataComp-13m,76.38888888888889,32.7019555646565,43.686933324232385
CLIP / 224 / B / 32.0,OpenAI-400m,MetaCLIP-400m,75.83333333333333,70.83333333333334,4.999999999999986
CLIP / 224 / B / 32.0,OpenAI-400m,DataComp-128m,75.83333333333333,48.33333333333333,27.5
CLIP / 224 / B / 32.0,OpenAI-400m,CommonPool-13m,75.83333333333333,44.43928724465225,31.39404608868108
CLIP / 224 / B / 32.0,OpenAI-400m,CommonPool-128m,75.83333333333333,40.61823828538275,35.21509504795058
CLIP / 224 / B / 32.0,OpenAI-400m,DataComp-13m,75.83333333333333,32.7019555646565,43.13137776867683
CLIP / 224 / B / 32.0,MetaCLIP-400m,DataComp-128m,70.83333333333334,48.33333333333333,22.500000000000014
CLIP / 224 / B / 32.0,MetaCLIP-400m,CommonPool-13m,70.83333333333334,44.43928724465225,26.394046088681094
CLIP / 224 / B / 32.0,MetaCLIP-400m,CommonPool-128m,70.83333333333334,40.61823828538275,30.21509504795059
CLIP / 224 / B / 32.0,MetaCLIP-400m,DataComp-13m,70.83333333333334,32.7019555646565,38.13137776867684
CLIP / 224 / B / 32.0,DataComp-128m,CommonPool-13m,48.33333333333333,44.43928724465225,3.8940460886810797
CLIP / 224 / B / 32.0,DataComp-128m,CommonPool-128m,48.33333333333333,40.61823828538275,7.715095047950577
CLIP / 224 / B / 32.0,DataComp-128m,DataComp-13m,48.33333333333333,32.7019555646565,15.631377768676828
CLIP / 224 / B / 32.0,CommonPool-13m,CommonPool-128m,44.43928724465225,40.61823828538275,3.821048959269497
CLIP / 224 / B / 32.0,CommonPool-13m,DataComp-13m,44.43928724465225,32.7019555646565,11.737331679995748
CLIP / 224 / B / 32.0,CommonPool-128m,DataComp-13m,40.61823828538275,32.7019555646565,7.916282720726251
CLIP / 224 / B / 16.0,LAION-2b,LAION-400m,81.11111111111111,80.27777777777779,0.8333333333333286
CLIP / 224 / B / 16.0,LAION-2b,DataComp-1b,81.11111111111111,75.55555555555556,5.555555555555557
CLIP / 224 / B / 16.0,LAION-2b,DFNDR-2b,81.11111111111111,73.33333333333333,7.777777777777786
CLIP / 224 / B / 16.0,LAION-2b,OpenAI-400m,81.11111111111111,72.22222222222221,8.8888888888889
CLIP / 224 / B / 16.0,LAION-2b,MetaCLIP-400m,81.11111111111111,70.27777777777777,10.833333333333343
CLIP / 224 / B / 16.0,LAION-2b,CommonCrawl-2.5b,81.11111111111111,69.44444444444444,11.666666666666671
CLIP / 224 / B / 16.0,LAION-2b,DFN-2b,81.11111111111111,66.66666666666666,14.444444444444457
CLIP / 224 / B / 16.0,LAION-2b,CommonPool-1b,81.11111111111111,52.685185185185176,28.425925925925938
CLIP / 224 / B / 16.0,LAION-400m,DataComp-1b,80.27777777777779,75.55555555555556,4.7222222222222285
CLIP / 224 / B / 16.0,LAION-400m,DFNDR-2b,80.27777777777779,73.33333333333333,6.944444444444457
CLIP / 224 / B / 16.0,LAION-400m,OpenAI-400m,80.27777777777779,72.22222222222221,8.055555555555571
CLIP / 224 / B / 16.0,LAION-400m,MetaCLIP-400m,80.27777777777779,70.27777777777777,10.000000000000014
CLIP / 224 / B / 16.0,LAION-400m,CommonCrawl-2.5b,80.27777777777779,69.44444444444444,10.833333333333343
CLIP / 224 / B / 16.0,LAION-400m,DFN-2b,80.27777777777779,66.66666666666666,13.611111111111128
CLIP / 224 / B / 16.0,LAION-400m,CommonPool-1b,80.27777777777779,52.685185185185176,27.59259259259261
CLIP / 224 / B / 16.0,DataComp-1b,DFNDR-2b,75.55555555555556,73.33333333333333,2.2222222222222285
CLIP / 224 / B / 16.0,DataComp-1b,OpenAI-400m,75.55555555555556,72.22222222222221,3.333333333333343
CLIP / 224 / B / 16.0,DataComp-1b,MetaCLIP-400m,75.55555555555556,70.27777777777777,5.277777777777786
CLIP / 224 / B / 16.0,DataComp-1b,CommonCrawl-2.5b,75.55555555555556,69.44444444444444,6.111111111111114
CLIP / 224 / B / 16.0,DataComp-1b,DFN-2b,75.55555555555556,66.66666666666666,8.8888888888889
CLIP / 224 / B / 16.0,DataComp-1b,CommonPool-1b,75.55555555555556,52.685185185185176,22.87037037037038
CLIP / 224 / B / 16.0,DFNDR-2b,OpenAI-400m,73.33333333333333,72.22222222222221,1.1111111111111143
CLIP / 224 / B / 16.0,DFNDR-2b,MetaCLIP-400m,73.33333333333333,70.27777777777777,3.055555555555557
CLIP / 224 / B / 16.0,DFNDR-2b,CommonCrawl-2.5b,73.33333333333333,69.44444444444444,3.8888888888888857
CLIP / 224 / B / 16.0,DFNDR-2b,DFN-2b,73.33333333333333,66.66666666666666,6.666666666666671
CLIP / 224 / B / 16.0,DFNDR-2b,CommonPool-1b,73.33333333333333,52.685185185185176,20.648148148148152
CLIP / 224 / B / 16.0,OpenAI-400m,MetaCLIP-400m,72.22222222222221,70.27777777777777,1.9444444444444429
CLIP / 224 / B / 16.0,OpenAI-400m,CommonCrawl-2.5b,72.22222222222221,69.44444444444444,2.7777777777777715
CLIP / 224 / B / 16.0,OpenAI-400m,DFN-2b,72.22222222222221,66.66666666666666,5.555555555555557
CLIP / 224 / B / 16.0,OpenAI-400m,CommonPool-1b,72.22222222222221,52.685185185185176,19.537037037037038
CLIP / 224 / B / 16.0,MetaCLIP-400m,CommonCrawl-2.5b,70.27777777777777,69.44444444444444,0.8333333333333286
CLIP / 224 / B / 16.0,MetaCLIP-400m,DFN-2b,70.27777777777777,66.66666666666666,3.6111111111111143
CLIP / 224 / B / 16.0,MetaCLIP-400m,CommonPool-1b,70.27777777777777,52.685185185185176,17.592592592592595
CLIP / 224 / B / 16.0,CommonCrawl-2.5b,DFN-2b,69.44444444444444,66.66666666666666,2.7777777777777857
CLIP / 224 / B / 16.0,CommonCrawl-2.5b,CommonPool-1b,69.44444444444444,52.685185185185176,16.759259259259267
CLIP / 224 / B / 16.0,DFN-2b,CommonPool-1b,66.66666666666666,52.685185185185176,13.981481481481481
CLIP / 224 / L / 14.0,CommonCrawl-2.5b,LAION-2b,84.44444444444444,83.33333333333334,1.1111111111111
CLIP / 224 / L / 14.0,CommonCrawl-2.5b,MetaCLIP-400m,84.44444444444444,82.94459190444591,1.4998525399985283
CLIP / 224 / L / 14.0,CommonCrawl-2.5b,CommonPool-12.8b,84.44444444444444,82.09946177099462,2.3449826734498203
CLIP / 224 / L / 14.0,CommonCrawl-2.5b,DataComp-1b,84.44444444444444,80.55555555555556,3.8888888888888857
CLIP / 224 / L / 14.0,CommonCrawl-2.5b,OpenAI-400m,84.44444444444444,80.55555555555556,3.8888888888888857
CLIP / 224 / L / 14.0,CommonCrawl-2.5b,DFN-2b,84.44444444444444,75.55555555555556,8.888888888888886
CLIP / 224 / L / 14.0,CommonCrawl-2.5b,LAION-400m,84.44444444444444,72.5,11.944444444444443
CLIP / 224 / L / 14.0,LAION-2b,MetaCLIP-400m,83.33333333333334,82.94459190444591,0.38874142888742824
CLIP / 224 / L / 14.0,LAION-2b,CommonPool-12.8b,83.33333333333334,82.09946177099462,1.2338715623387202
CLIP / 224 / L / 14.0,LAION-2b,DataComp-1b,83.33333333333334,80.55555555555556,2.7777777777777857
CLIP / 224 / L / 14.0,LAION-2b,OpenAI-400m,83.33333333333334,80.55555555555556,2.7777777777777857
CLIP / 224 / L / 14.0,LAION-2b,DFN-2b,83.33333333333334,75.55555555555556,7.777777777777786
CLIP / 224 / L / 14.0,LAION-2b,LAION-400m,83.33333333333334,72.5,10.833333333333343
CLIP / 224 / L / 14.0,MetaCLIP-400m,CommonPool-12.8b,82.94459190444591,82.09946177099462,0.845130133451292
CLIP / 224 / L / 14.0,MetaCLIP-400m,DataComp-1b,82.94459190444591,80.55555555555556,2.3890363488903574
CLIP / 224 / L / 14.0,MetaCLIP-400m,OpenAI-400m,82.94459190444591,80.55555555555556,2.3890363488903574
CLIP / 224 / L / 14.0,MetaCLIP-400m,DFN-2b,82.94459190444591,75.55555555555556,7.389036348890357
CLIP / 224 / L / 14.0,MetaCLIP-400m,LAION-400m,82.94459190444591,72.5,10.444591904445915
CLIP / 224 / L / 14.0,CommonPool-12.8b,DataComp-1b,82.09946177099462,80.55555555555556,1.5439062154390655
CLIP / 224 / L / 14.0,CommonPool-12.8b,OpenAI-400m,82.09946177099462,80.55555555555556,1.5439062154390655
CLIP / 224 / L / 14.0,CommonPool-12.8b,DFN-2b,82.09946177099462,75.55555555555556,6.5439062154390655
CLIP / 224 / L / 14.0,CommonPool-12.8b,LAION-400m,82.09946177099462,72.5,9.599461770994623
CLIP / 224 / L / 14.0,DataComp-1b,OpenAI-400m,80.55555555555556,80.55555555555556,0.0
CLIP / 224 / L / 14.0,DataComp-1b,DFN-2b,80.55555555555556,75.55555555555556,5.0
CLIP / 224 / L / 14.0,DataComp-1b,LAION-400m,80.55555555555556,72.5,8.055555555555557
CLIP / 224 / L / 14.0,OpenAI-400m,DFN-2b,80.55555555555556,75.55555555555556,5.0
CLIP / 224 / L / 14.0,OpenAI-400m,LAION-400m,80.55555555555556,72.5,8.055555555555557
CLIP / 224 / L / 14.0,DFN-2b,LAION-400m,75.55555555555556,72.5,3.055555555555557
CLIP / 224 / H / 14.0,DFN-5b,LAION-2b,86.57454808140793,84.44444444444444,2.130103636963483
CLIP / 224 / H / 14.0,DFN-5b,MetaCLIP2-2.5b,86.57454808140793,82.96296296296296,3.611585118444964
CLIP / 224 / H / 14.0,DFN-5b,CommonCrawl-2.5b,86.57454808140793,79.16666666666666,7.407881414741269
CLIP / 224 / H / 14.0,LAION-2b,MetaCLIP2-2.5b,84.44444444444444,82.96296296296296,1.481481481481481
CLIP / 224 / H / 14.0,LAION-2b,CommonCrawl-2.5b,84.44444444444444,79.16666666666666,5.277777777777786
CLIP / 224 / H / 14.0,MetaCLIP2-2.5b,CommonCrawl-2.5b,82.96296296296296,79.16666666666666,3.7962962962963047
CLIP / 224 / bigG / 14.0,LAION-2b,MetaCLIP2-2.5b,87.64205999795229,86.14465826144658,1.497401736505708
CLIP / 224 / bigG / 14.0,LAION-2b,CommonCrawl-2.5b,87.64205999795229,78.88888888888889,8.753171109063402
CLIP / 224 / bigG / 14.0,MetaCLIP2-2.5b,CommonCrawl-2.5b,86.14465826144658,78.88888888888889,7.255769372557694
CLIP / 378 / H / 14.0,DFN-5b,MetaCLIP2-2.5b,85.83333333333334,84.44444444444444,1.3888888888889
CLIPA / 336 / H / 14.0,LAION-2b,DataComp-1b,87.41871267418713,84.1672196416722,3.2514930325149294
