base_config,data_1,data_2,metric_1,metric_2,effect_pp
CLIP / 224 / B / 32.0,DataComp-12.8b,CommonCrawl-2.5b,72.0,69.19999999999999,2.8000000000000114
CLIP / 224 / B / 32.0,DataComp-12.8b,LAION-2b,72.0,65.99999999999999,6.000000000000014
CLIP / 224 / B / 32.0,DataComp-12.8b,MetaCLIP-400m,72.0,54.400000000000006,17.599999999999994
CLIP / 224 / B / 32.0,DataComp-12.8b,LAION-400m,72.0,52.0,20.0
CLIP / 224 / B / 32.0,DataComp-12.8b,DataComp-128m,72.0,43.2,28.799999999999997
CLIP / 224 / B / 32.0,DataComp-12.8b,CommonPool-128m,72.0,40.666666666666664,31.333333333333336
CLIP / 224 / B / 32.0,DataComp-12.8b,OpenAI-400m,72.0,29.599999999999998,42.400000000000006
CLIP / 224 / B / 32.0,DataComp-12.8b,CommonPool-13m,72.0,21.2,50.8
CLIP / 224 / B / 32.0,DataComp-12.8b,DataComp-13m,72.0,15.2,56.8
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,LAION-2b,69.19999999999999,65.99999999999999,3.200000000000003
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,MetaCLIP-400m,69.19999999999999,54.400000000000006,14.799999999999983
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,LAION-400m,69.19999999999999,52.0,17.19999999999999
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,DataComp-128m,69.19999999999999,43.2,25.999999999999986
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,CommonPool-128m,69.19999999999999,40.666666666666664,28.533333333333324
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,OpenAI-400m,69.19999999999999,29.599999999999998,39.599999999999994
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,CommonPool-13m,69.19999999999999,21.2,47.999999999999986
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,DataComp-13m,69.19999999999999,15.2,53.999999999999986
CLIP / 224 / B / 32.0,LAION-2b,MetaCLIP-400m,65.99999999999999,54.400000000000006,11.59999999999998
CLIP / 224 / B / 32.0,LAION-2b,LAION-400m,65.99999999999999,52.0,13.999999999999986
CLIP / 224 / B / 32.0,LAION-2b,DataComp-128m,65.99999999999999,43.2,22.799999999999983
CLIP / 224 / B / 32.0,LAION-2b,CommonPool-128m,65.99999999999999,40.666666666666664,25.33333333333332
CLIP / 224 / B / 32.0,LAION-2b,OpenAI-400m,65.99999999999999,29.599999999999998,36.39999999999999
CLIP / 224 / B / 32.0,LAION-2b,CommonPool-13m,65.99999999999999,21.2,44.79999999999998
CLIP / 224 / B / 32.0,LAION-2b,DataComp-13m,65.99999999999999,15.2,50.79999999999998
CLIP / 224 / B / 32.0,MetaCLIP-400m,LAION-400m,54.400000000000006,52.0,2.4000000000000057
CLIP / 224 / B / 32.0,MetaCLIP-400m,DataComp-128m,54.400000000000006,43.2,11.200000000000003
CLIP / 224 / B / 32.0,MetaCLIP-400m,CommonPool-128m,54.400000000000006,40.666666666666664,13.733333333333341
CLIP / 224 / B / 32.0,MetaCLIP-400m,OpenAI-400m,54.400000000000006,29.599999999999998,24.800000000000008
CLIP / 224 / B / 32.0,MetaCLIP-400m,CommonPool-13m,54.400000000000006,21.2,33.2
CLIP / 224 / B / 32.0,MetaCLIP-400m,DataComp-13m,54.400000000000006,15.2,39.2
CLIP / 224 / B / 32.0,LAION-400m,DataComp-128m,52.0,43.2,8.799999999999997
CLIP / 224 / B / 32.0,LAION-400m,CommonPool-128m,52.0,40.666666666666664,11.333333333333336
CLIP / 224 / B / 32.0,LAION-400m,OpenAI-400m,52.0,29.599999999999998,22.400000000000002
CLIP / 224 / B / 32.0,LAION-400m,CommonPool-13m,52.0,21.2,30.8
CLIP / 224 / B / 32.0,LAION-400m,DataComp-13m,52.0,15.2,36.8
CLIP / 224 / B / 32.0,DataComp-128m,CommonPool-128m,43.2,40.666666666666664,2.5333333333333385
CLIP / 224 / B / 32.0,DataComp-128m,OpenAI-400m,43.2,29.599999999999998,13.600000000000005
CLIP / 224 / B / 32.0,DataComp-128m,CommonPool-13m,43.2,21.2,22.000000000000004
CLIP / 224 / B / 32.0,DataComp-128m,DataComp-13m,43.2,15.2,28.000000000000004
CLIP / 224 / B / 32.0,CommonPool-128m,OpenAI-400m,40.666666666666664,29.599999999999998,11.066666666666666
CLIP / 224 / B / 32.0,CommonPool-128m,CommonPool-13m,40.666666666666664,21.2,19.466666666666665
CLIP / 224 / B / 32.0,CommonPool-128m,DataComp-13m,40.666666666666664,15.2,25.466666666666665
CLIP / 224 / B / 32.0,OpenAI-400m,CommonPool-13m,29.599999999999998,21.2,8.399999999999999
CLIP / 224 / B / 32.0,OpenAI-400m,DataComp-13m,29.599999999999998,15.2,14.399999999999999
CLIP / 224 / B / 32.0,CommonPool-13m,DataComp-13m,21.2,15.2,6.0
CLIP / 224 / B / 16.0,MetaCLIP-400m,CommonCrawl-2.5b,71.2,70.8,0.4000000000000057
CLIP / 224 / B / 16.0,MetaCLIP-400m,DFNDR-2b,71.2,70.39999999999999,0.8000000000000114
CLIP / 224 / B / 16.0,MetaCLIP-400m,LAION-400m,71.2,70.39999999999999,0.8000000000000114
CLIP / 224 / B / 16.0,MetaCLIP-400m,LAION-2b,71.2,67.2,4.0
CLIP / 224 / B / 16.0,MetaCLIP-400m,DFN-2b,71.2,65.60000000000001,5.599999999999994
CLIP / 224 / B / 16.0,MetaCLIP-400m,CommonPool-1b,71.2,62.0,9.200000000000003
CLIP / 224 / B / 16.0,MetaCLIP-400m,DataComp-1b,71.2,61.199999999999996,10.000000000000007
CLIP / 224 / B / 16.0,MetaCLIP-400m,OpenAI-400m,71.2,51.2,20.0
CLIP / 224 / B / 16.0,CommonCrawl-2.5b,DFNDR-2b,70.8,70.39999999999999,0.4000000000000057
CLIP / 224 / B / 16.0,CommonCrawl-2.5b,LAION-400m,70.8,70.39999999999999,0.4000000000000057
CLIP / 224 / B / 16.0,CommonCrawl-2.5b,LAION-2b,70.8,67.2,3.5999999999999943
CLIP / 224 / B / 16.0,CommonCrawl-2.5b,DFN-2b,70.8,65.60000000000001,5.199999999999989
CLIP / 224 / B / 16.0,CommonCrawl-2.5b,CommonPool-1b,70.8,62.0,8.799999999999997
CLIP / 224 / B / 16.0,CommonCrawl-2.5b,DataComp-1b,70.8,61.199999999999996,9.600000000000001
CLIP / 224 / B / 16.0,CommonCrawl-2.5b,OpenAI-400m,70.8,51.2,19.599999999999994
CLIP / 224 / B / 16.0,DFNDR-2b,LAION-400m,70.39999999999999,70.39999999999999,0.0
CLIP / 224 / B / 16.0,DFNDR-2b,LAION-2b,70.39999999999999,67.2,3.1999999999999886
CLIP / 224 / B / 16.0,DFNDR-2b,DFN-2b,70.39999999999999,65.60000000000001,4.799999999999983
CLIP / 224 / B / 16.0,DFNDR-2b,CommonPool-1b,70.39999999999999,62.0,8.399999999999991
CLIP / 224 / B / 16.0,DFNDR-2b,DataComp-1b,70.39999999999999,61.199999999999996,9.199999999999996
CLIP / 224 / B / 16.0,DFNDR-2b,OpenAI-400m,70.39999999999999,51.2,19.19999999999999
CLIP / 224 / B / 16.0,LAION-400m,LAION-2b,70.39999999999999,67.2,3.1999999999999886
CLIP / 224 / B / 16.0,LAION-400m,DFN-2b,70.39999999999999,65.60000000000001,4.799999999999983
CLIP / 224 / B / 16.0,LAION-400m,CommonPool-1b,70.39999999999999,62.0,8.399999999999991
CLIP / 224 / B / 16.0,LAION-400m,DataComp-1b,70.39999999999999,61.199999999999996,9.199999999999996
CLIP / 224 / B / 16.0,LAION-400m,OpenAI-400m,70.39999999999999,51.2,19.19999999999999
CLIP / 224 / B / 16.0,LAION-2b,DFN-2b,67.2,65.60000000000001,1.5999999999999943
CLIP / 224 / B / 16.0,LAION-2b,CommonPool-1b,67.2,62.0,5.200000000000003
CLIP / 224 / B / 16.0,LAION-2b,DataComp-1b,67.2,61.199999999999996,6.000000000000007
CLIP / 224 / B / 16.0,LAION-2b,OpenAI-400m,67.2,51.2,16.0
CLIP / 224 / B / 16.0,DFN-2b,CommonPool-1b,65.60000000000001,62.0,3.6000000000000085
CLIP / 224 / B / 16.0,DFN-2b,DataComp-1b,65.60000000000001,61.199999999999996,4.400000000000013
CLIP / 224 / B / 16.0,DFN-2b,OpenAI-400m,65.60000000000001,51.2,14.400000000000006
CLIP / 224 / B / 16.0,CommonPool-1b,DataComp-1b,62.0,61.199999999999996,0.8000000000000043
CLIP / 224 / B / 16.0,CommonPool-1b,OpenAI-400m,62.0,51.2,10.799999999999997
CLIP / 224 / B / 16.0,DataComp-1b,OpenAI-400m,61.199999999999996,51.2,9.999999999999993
CLIP / 224 / L / 14.0,LAION-2b,DataComp-1b,72.8,64.8,8.0
CLIP / 224 / L / 14.0,LAION-2b,DFN-2b,72.8,61.86666666666666,10.933333333333337
CLIP / 224 / L / 14.0,LAION-2b,CommonPool-12.8b,72.8,60.8,12.0
CLIP / 224 / L / 14.0,LAION-2b,LAION-400m,72.8,54.400000000000006,18.39999999999999
CLIP / 224 / L / 14.0,LAION-2b,CommonCrawl-2.5b,72.8,48.0,24.799999999999997
CLIP / 224 / L / 14.0,LAION-2b,OpenAI-400m,72.8,45.6,27.199999999999996
CLIP / 224 / L / 14.0,LAION-2b,MetaCLIP-400m,72.8,16.8,56.0
CLIP / 224 / L / 14.0,DataComp-1b,DFN-2b,64.8,61.86666666666666,2.933333333333337
CLIP / 224 / L / 14.0,DataComp-1b,CommonPool-12.8b,64.8,60.8,4.0
CLIP / 224 / L / 14.0,DataComp-1b,LAION-400m,64.8,54.400000000000006,10.399999999999991
CLIP / 224 / L / 14.0,DataComp-1b,CommonCrawl-2.5b,64.8,48.0,16.799999999999997
CLIP / 224 / L / 14.0,DataComp-1b,OpenAI-400m,64.8,45.6,19.199999999999996
CLIP / 224 / L / 14.0,DataComp-1b,MetaCLIP-400m,64.8,16.8,48.0
CLIP / 224 / L / 14.0,DFN-2b,CommonPool-12.8b,61.86666666666666,60.8,1.0666666666666629
CLIP / 224 / L / 14.0,DFN-2b,LAION-400m,61.86666666666666,54.400000000000006,7.466666666666654
CLIP / 224 / L / 14.0,DFN-2b,CommonCrawl-2.5b,61.86666666666666,48.0,13.86666666666666
CLIP / 224 / L / 14.0,DFN-2b,OpenAI-400m,61.86666666666666,45.6,16.26666666666666
CLIP / 224 / L / 14.0,DFN-2b,MetaCLIP-400m,61.86666666666666,16.8,45.06666666666666
CLIP / 224 / L / 14.0,CommonPool-12.8b,LAION-400m,60.8,54.400000000000006,6.3999999999999915
CLIP / 224 / L / 14.0,CommonPool-12.8b,CommonCrawl-2.5b,60.8,48.0,12.799999999999997
CLIP / 224 / L / 14.0,CommonPool-12.8b,OpenAI-400m,60.8,45.6,15.199999999999996
CLIP / 224 / L / 14.0,CommonPool-12.8b,MetaCLIP-400m,60.8,16.8,44.0
CLIP / 224 / L / 14.0,LAION-400m,CommonCrawl-2.5b,54.400000000000006,48.0,6.400000000000006
CLIP / 224 / L / 14.0,LAION-400m,OpenAI-400m,54.400000000000006,45.6,8.800000000000004
CLIP / 224 / L / 14.0,LAION-400m,MetaCLIP-400m,54.400000000000006,16.8,37.60000000000001
CLIP / 224 / L / 14.0,CommonCrawl-2.5b,OpenAI-400m,48.0,45.6,2.3999999999999986
CLIP / 224 / L / 14.0,CommonCrawl-2.5b,MetaCLIP-400m,48.0,16.8,31.2
CLIP / 224 / L / 14.0,OpenAI-400m,MetaCLIP-400m,45.6,16.8,28.8
CLIP / 224 / H / 14.0,DFN-5b,LAION-2b,73.6,48.8,24.799999999999997
CLIP / 224 / H / 14.0,DFN-5b,MetaCLIP2-2.5b,73.6,46.13333333333333,27.46666666666666
CLIP / 224 / H / 14.0,DFN-5b,CommonCrawl-2.5b,73.6,26.8,46.8
CLIP / 224 / H / 14.0,LAION-2b,MetaCLIP2-2.5b,48.8,46.13333333333333,2.6666666666666643
CLIP / 224 / H / 14.0,LAION-2b,CommonCrawl-2.5b,48.8,26.8,21.999999999999996
CLIP / 224 / H / 14.0,MetaCLIP2-2.5b,CommonCrawl-2.5b,46.13333333333333,26.8,19.333333333333332
CLIP / 224 / bigG / 14.0,LAION-2b,CommonCrawl-2.5b,78.4,55.60000000000001,22.799999999999997
CLIP / 224 / bigG / 14.0,LAION-2b,MetaCLIP2-2.5b,78.4,52.0,26.400000000000006
CLIP / 224 / bigG / 14.0,CommonCrawl-2.5b,MetaCLIP2-2.5b,55.60000000000001,52.0,3.6000000000000085
CLIP / 378 / H / 14.0,DFN-5b,MetaCLIP2-2.5b,80.4,76.8,3.6000000000000085
CLIPA / 336 / H / 14.0,DataComp-1b,LAION-2b,78.4,70.39999999999999,8.000000000000014
