model_id,arch_family,training_objective,ImageNet,UrbanCars_WG,CelebA_WG,avg_wg
ViT-gopt-16-SigLIP2-384_webli,SigLIP2,SigLIP2,84.956,73.6,85.7786423671547,79.68932118357735
ViT-gopt-16-SigLIP2-256_webli,SigLIP2,SigLIP2,84.458,50.4,85.92198218490836,68.16099109245418
ViT-H-14-378-quickgelu_dfn5b,CLIP,CLIP,84.328,78.4,86.11111111111111,82.25555555555556
ViT-SO400M-16-SigLIP2-512_webli,SigLIP2,SigLIP2,84.278,64.0,86.58748848162179,75.2937442408109
ViT-SO400M-16-SigLIP2-384_webli,SigLIP2,SigLIP2,84.178,48.8,87.27347189515716,68.03673594757858
ViT-SO400M-14-SigLIP2-378_webli,SigLIP2,SigLIP2,84.094,47.199999999999996,87.0891778437596,67.1445889218798
ViT-L-16-SigLIP2-512_webli,SigLIP2,SigLIP2,83.498,52.0,85.63530254940105,68.81765127470052
PE-Core-L-14-336_meta,PE,CLIP,83.484,64.0,58.333333333333336,61.16666666666667
ViT-H-14-quickgelu_dfn5b,CLIP,CLIP,83.4,84.8,87.03798505170472,85.91899252585236
ViT-SO400M-16-SigLIP2-256_webli,SigLIP2,SigLIP2,83.282,44.800000000000004,86.42367154704618,65.6118357735231
ViT-L-16-SigLIP2-384_webli,SigLIP2,SigLIP2,83.232,38.4,85.52267840688032,61.96133920344016
ViT-SO400M-14-SigLIP2_webli,SigLIP2,SigLIP2,83.182,46.400000000000006,86.82297532507422,66.61148766253712
ViT-SO400M-14-SigLIP-384_webli,SigLIP,SigLIP,83.088,86.4,89.24951366847547,87.82475683423775
ViT-SO400M-14-SigLIP-378_webli,SigLIP,SigLIP,83.086,81.6,88.33333333333333,84.96666666666667
ViT-H-14-378_dfn5b,CLIP,CLIP,83.066,82.39999999999999,85.55555555555556,83.97777777777777
ViT-bigG-14-worldwide-378_metaclip2_worldwide,CLIP,CLIP,83.018,31.2,85.9721300597213,58.58606502986065
ViT-bigG-14-CLIPA-336_datacomp1b,CLIPA,CLIPA,82.876,58.4,85.0,71.7
ViT-H-14_dfn5b,CLIP,CLIP,82.816,62.4,86.11111111111111,74.25555555555556
ViT-bigG-14-CLIPA_datacomp1b,CLIPA,CLIPA,82.682,58.4,85.55555555555556,71.97777777777777
ViTamin-XL-336_datacomp1b,ViTamin,CLIP,82.676,52.0,77.9960185799602,64.9980092899801
ViT-L-16-SigLIP2-256_webli,SigLIP2,SigLIP2,82.35,34.4,85.51243984846934,59.956219924234674
ViT-H-14-worldwide-378_metaclip2_worldwide,CLIP,CLIP,82.254,76.8,84.44444444444444,80.62222222222222
ViTamin-XL-256_datacomp1b,ViTamin,CLIP,82.238,63.2,77.75713337757134,70.47856668878566
ViT-L-16-SigLIP-384_webli,SigLIP,SigLIP,82.08,56.8,84.28666224286663,70.54333112143331
ViTamin-L2-384_datacomp1b,ViTamin,CLIP,82.05,69.6,78.88888888888889,74.24444444444444
ViT-SO400M-14-SigLIP_webli,SigLIP,SigLIP,82.012,86.4,86.11111111111111,86.25555555555556
ViT-L-14_dfn2b_s39b,CLIP,CLIP,82.008,59.199999999999996,82.77777777777777,70.98888888888888
ViT-H-14_metaclip_altogether,CLIP,CLIP,81.932,33.6,83.33333333333334,58.46666666666667
MobileCLIP2-L-14_dfndr2b,MobileCLIP2,CLIP,81.906,82.39999999999999,80.55555555555556,81.47777777777777
MobileCLIP2-S4_dfndr2b,MobileCLIP2,CLIP,81.85,82.39999999999999,77.22222222222223,79.8111111111111
ViT-H-14-CLIPA-336_datacomp1b,CLIPA,CLIPA,81.798,78.4,84.1672196416722,81.2836098208361
ViTamin-L-384_datacomp1b,ViTamin,CLIP,81.794,55.2,86.11111111111111,70.65555555555557
ViTamin-L2-336_datacomp1b,ViTamin,CLIP,81.79,64.8,79.44444444444444,72.12222222222222
