model_id,model_name,training_objective,arch_family,total_params_M,image_size,training_data,top1_accuracy,worst_group_accuracy,avg_accuracy,imagenet_acc,wg_acc,robustness_gap,robustness_ratio,relative_drop_pct
ViT-gopt-16-SigLIP2-384_webli,ViT-gopt-16-SigLIP2-384,SigLIP2,SigLIP2,1871.9,384,WebLI-10b,0.84956,0.857786423671547,0.8777176635607654,0.84956,0.857786423671547,-0.008226423671547023,1.0096831579541727,-0.9683157954172775
ViT-gopt-16-SigLIP2-256_webli,ViT-gopt-16-SigLIP2-256,SigLIP2,SigLIP2,1871.4,256,WebLI-10b,0.84458,0.8592198218490836,0.8785191864542631,0.84458,0.8592198218490836,-0.014639821849083634,1.0173338485982188,-1.73338485982188
ViT-H-14-378-quickgelu_dfn5b,ViT-H-14-378-quickgelu,CLIP,CLIP,986.7,378,DFN-5b,0.84328,0.8611111111111112,0.8981564973449554,0.84328,0.8611111111111112,-0.01783111111111113,1.0211449472430405,-2.1144947243040426
ViT-SO400M-16-SigLIP2-512_webli,ViT-SO400M-16-SigLIP2-512,SigLIP2,SigLIP2,1136.6,512,WebLI-10b,0.8427800000000001,0.8658748848162179,0.8863841298467088,0.8427800000000001,0.8658748848162179,-0.023094884816217798,1.027403218890123,-2.740321889012292
ViT-SO400M-16-SigLIP2-384_webli,ViT-SO400M-16-SigLIP2-384,SigLIP2,SigLIP2,1136.0,384,WebLI-10b,0.84178,0.8727347189515716,0.8863841298467088,0.84178,0.8727347189515716,-0.030954718951571647,1.0367729323000923,-3.6772932300092243
ViT-SO400M-14-SigLIP2-378_webli,ViT-SO400M-14-SigLIP2-378,SigLIP2,SigLIP2,1136.0,378,WebLI-10b,0.8409399999999999,0.870891778437596,0.8851818455064623,0.8409399999999999,0.870891778437596,-0.02995177843759611,1.035617021948767,-3.5617021948766996
ViT-L-16-SigLIP2-512_webli,ViT-L-16-SigLIP2-512,SigLIP2,SigLIP2,882.3,512,WebLI-10b,0.83498,0.8563530254940105,0.8860334635808035,0.83498,0.8563530254940105,-0.021373025494010434,1.0255970508203913,-2.5597050820391423
PE-Core-L-14-336_meta,PE-Core-L-14-336,CLIP,PE,671.1,336,MetaCLIP-5.4b,0.8348399999999999,0.5833333333333334,0.9146879070233443,0.8348399999999999,0.5833333333333334,0.25150666666666655,0.6987366840751922,30.12633159248078
ViT-H-14-quickgelu_dfn5b,ViT-H-14-quickgelu,CLIP,CLIP,986.1,224,DFN-5b,0.8340000000000001,0.8703798505170472,0.8886885081655145,0.8340000000000001,0.8703798505170472,-0.036379850517047174,1.0436209238813514,-4.362092388135153
ViT-SO400M-16-SigLIP2-256_webli,ViT-SO400M-16-SigLIP2-256,SigLIP2,SigLIP2,1135.7,256,WebLI-10b,0.83282,0.8642367154704618,0.8819256587516281,0.83282,0.8642367154704618,-0.031416715470461765,1.037723296114961,-3.7723296114960934
ViT-L-16-SigLIP2-384_webli,ViT-L-16-SigLIP2-384,SigLIP2,SigLIP2,881.9,384,WebLI-10b,0.83232,0.8552267840688031,0.8847309888788698,0.83232,0.8552267840688031,-0.0229067840688032,1.0275216071568667,-2.7521607156866588
ViT-SO400M-14-SigLIP2_webli,ViT-SO400M-14-SigLIP2,SigLIP2,SigLIP2,1135.5,224,WebLI-10b,0.83182,0.8682297532507423,0.8846808936980263,0.83182,0.8682297532507423,-0.03640975325074225,1.0437711923862643,-4.377119238626415
ViT-SO400M-14-SigLIP-384_webli,ViT-SO400M-14-SigLIP-384,SigLIP,SigLIP,878.0,384,WebLI-10b,0.83088,0.8924951366847548,0.9048191563971546,0.83088,0.8924951366847548,-0.06161513668475482,1.0741564807008892,-7.4156480700889205
ViT-SO400M-14-SigLIP-378_webli,ViT-SO400M-14-SigLIP-378,SigLIP,SigLIP,878.0,378,WebLI-10b,0.8308599999999999,0.8833333333333333,0.9037671575994388,0.8308599999999999,0.8833333333333333,-0.05247333333333337,1.063155445361834,-6.315544536183397
ViT-H-14-378_dfn5b,ViT-H-14-378,CLIP,CLIP,986.7,378,DFN-5b,0.8306600000000001,0.8555555555555555,0.8932471696222823,0.8306600000000001,0.8555555555555555,-0.02489555555555545,1.0299708130348824,-2.997081303488244
ViT-bigG-14-worldwide-378_metaclip2_worldwide,ViT-bigG-14-worldwide-378,CLIP,CLIP,3631.2,378,MetaCLIP2-2.5b,0.83018,0.859721300597213,0.8719567177637512,0.83018,0.859721300597213,-0.02954130059721294,1.0355842113724891,-3.5584211372489025
ViT-bigG-14-CLIPA-336_datacomp1b,ViT-bigG-14-CLIPA-336,CLIPA,CLIPA,2517.8,336,DataComp-1b,0.82876,0.85,0.897705640717363,0.82876,0.85,-0.021239999999999926,1.025628650031372,-2.5628650031372078
ViT-H-14_dfn5b,ViT-H-14,CLIP,CLIP,986.1,224,DFN-5b,0.82816,0.8611111111111112,0.8900911732291353,0.82816,0.8611111111111112,-0.03295111111111115,1.0397883393439808,-3.9788339343980814
ViT-bigG-14-CLIPA_datacomp1b,ViT-bigG-14-CLIPA,CLIPA,CLIPA,2517.2,224,DataComp-1b,0.82682,0.8555555555555555,0.8928965033563772,0.82682,0.8555555555555555,-0.028735555555555514,1.034754306324902,-3.475430632490205
ViTamin-XL-336_datacomp1b,ViTamin-XL-336,CLIP,ViTamin,924.8,336,DataComp-1b,0.82676,0.7799601857996019,0.8503656948201583,0.82676,0.7799601857996019,0.04679981420039814,0.9433937125642289,5.660628743577113
ViT-L-16-SigLIP2-256_webli,ViT-L-16-SigLIP2-256,SigLIP2,SigLIP2,881.5,256,WebLI-10b,0.8234999999999999,0.8551243984846933,0.8808736599539124,0.8234999999999999,0.8551243984846933,-0.03162439848469345,1.0384024268180856,-3.8402426818085553
ViT-H-14-worldwide-378_metaclip2_worldwide,ViT-H-14-worldwide-378,CLIP,CLIP,1859.4,378,MetaCLIP2-2.5b,0.82254,0.8444444444444444,0.8873359382827372,0.82254,0.8444444444444444,-0.021904444444444393,1.0266302483094372,-2.66302483094371
ViTamin-XL-256_datacomp1b,ViTamin-XL-256,CLIP,ViTamin,924.8,256,DataComp-1b,0.82238,0.7775713337757133,0.8466586514377317,0.82238,0.7775713337757133,0.0448086662242867,0.9455134290421865,5.448657095781353
ViT-L-16-SigLIP-384_webli,ViT-L-16-SigLIP-384,SigLIP,SigLIP,652.5,384,WebLI-10b,0.8208,0.8428666224286663,0.8643422502755235,0.8208,0.8428666224286663,-0.022066622428666305,1.0268842865846324,-2.688428658463244
ViTamin-L2-384_datacomp1b,ViTamin-L2-384,CLIP,ViTamin,688.0,384,DataComp-1b,0.8205,0.7888888888888889,0.9095281033964532,0.8205,0.7888888888888889,0.031611111111111145,0.9614733563545264,3.852664364547367
ViT-SO400M-14-SigLIP_webli,ViT-SO400M-14-SigLIP,SigLIP,SigLIP,877.4,224,WebLI-10b,0.82012,0.8611111111111112,0.908175533513676,0.82012,0.8611111111111112,-0.0409911111111112,1.049981845475188,-4.998184547518802
