model_id,training_objective,training_data,arch_family,total_params_M,image_size,top1_accuracy
ViT-gopt-16-SigLIP2-384_webli,SigLIP2,WebLI-10b,SigLIP2,1871.9,384,84.96
ViT-gopt-16-SigLIP2-256_webli,SigLIP2,WebLI-10b,SigLIP2,1871.4,256,84.46
ViT-H-14-378-quickgelu_dfn5b,CLIP,DFN-5b,CLIP,986.7,378,84.33
ViT-SO400M-16-SigLIP2-512_webli,SigLIP2,WebLI-10b,SigLIP2,1136.6,512,84.28
ViT-SO400M-16-SigLIP2-384_webli,SigLIP2,WebLI-10b,SigLIP2,1136.0,384,84.18
ViT-SO400M-14-SigLIP2-378_webli,SigLIP2,WebLI-10b,SigLIP2,1136.0,378,84.09
ViT-L-16-SigLIP2-512_webli,SigLIP2,WebLI-10b,SigLIP2,882.3,512,83.5
PE-Core-L-14-336_meta,CLIP,MetaCLIP-5.4b,PE,671.1,336,83.48
ViT-H-14-quickgelu_dfn5b,CLIP,DFN-5b,CLIP,986.1,224,83.4
ViT-SO400M-16-SigLIP2-256_webli,SigLIP2,WebLI-10b,SigLIP2,1135.7,256,83.28
ViT-L-16-SigLIP2-384_webli,SigLIP2,WebLI-10b,SigLIP2,881.9,384,83.23
ViT-SO400M-14-SigLIP2_webli,SigLIP2,WebLI-10b,SigLIP2,1135.5,224,83.18
ViT-SO400M-14-SigLIP-384_webli,SigLIP,WebLI-10b,SigLIP,878.0,384,83.09
ViT-SO400M-14-SigLIP-378_webli,SigLIP,WebLI-10b,SigLIP,878.0,378,83.09
ViT-H-14-378_dfn5b,CLIP,DFN-5b,CLIP,986.7,378,83.07
ViT-bigG-14-worldwide-378_metaclip2_worldwide,CLIP,MetaCLIP2-2.5b,CLIP,3631.2,378,83.02
ViT-bigG-14-CLIPA-336_datacomp1b,CLIPA,DataComp-1b,CLIPA,2517.8,336,82.88
ViT-H-14_dfn5b,CLIP,DFN-5b,CLIP,986.1,224,82.82
ViT-bigG-14-CLIPA_datacomp1b,CLIPA,DataComp-1b,CLIPA,2517.2,224,82.68
ViTamin-XL-336_datacomp1b,CLIP,DataComp-1b,ViTamin,924.8,336,82.68
ViT-L-16-SigLIP2-256_webli,SigLIP2,WebLI-10b,SigLIP2,881.5,256,82.35
ViT-H-14-worldwide-378_metaclip2_worldwide,CLIP,MetaCLIP2-2.5b,CLIP,1859.4,378,82.25
ViTamin-XL-256_datacomp1b,CLIP,DataComp-1b,ViTamin,924.8,256,82.24
ViT-L-16-SigLIP-384_webli,SigLIP,WebLI-10b,SigLIP,652.5,384,82.08
ViTamin-L2-384_datacomp1b,CLIP,DataComp-1b,ViTamin,688.0,384,82.05
ViT-SO400M-14-SigLIP_webli,SigLIP,WebLI-10b,SigLIP,877.4,224,82.01
ViT-L-14_dfn2b_s39b,CLIP,DFN-2b,CLIP,427.6,224,82.01
ViT-H-14_metaclip_altogether,CLIP,MetaCLIP2-2.5b,CLIP,986.1,224,81.93
MobileCLIP2-L-14_dfndr2b,CLIP,DFNDR-2b,MobileCLIP2,427.6,224,81.91
MobileCLIP2-S4_dfndr2b,CLIP,DFNDR-2b,MobileCLIP2,445.4,256,81.85
