base_config,from_res,to_res,from_metric,to_metric,effect_pp
SigLIP / WebLI-10b / 16.0 / B,224,256,76.042,75.836,-0.20600000000000307
SigLIP / WebLI-10b / 16.0 / B,224,384,76.042,78.484,2.441999999999993
SigLIP / WebLI-10b / 16.0 / B,224,512,76.042,79.12,3.078000000000003
SigLIP / WebLI-10b / 16.0 / B,256,384,75.836,78.484,2.647999999999996
SigLIP / WebLI-10b / 16.0 / B,256,512,75.836,79.12,3.284000000000006
SigLIP / WebLI-10b / 16.0 / B,384,512,78.484,79.12,0.6360000000000099
CLIP / DFN-5b / 14.0 / H,224,378,83.108,83.697,0.5889999999999986
CLIP / LAION-400m / 16.0 / B,224,240,67.021,69.056,2.0349999999999966
CLIP / MetaCLIP2-2.5b / 14.0 / H,224,378,73.13000000000001,82.254,9.123999999999995
CLIP / OpenAI-400m / 14.0 / L,224,336,74.202,75.271,1.0690000000000026
SigLIP2 / WebLI-10b / 16.0 / B,224,256,78.476,79.304,0.828000000000003
SigLIP2 / WebLI-10b / 16.0 / B,224,384,78.476,80.65,2.1740000000000066
SigLIP2 / WebLI-10b / 16.0 / B,224,512,78.476,81.274,2.798000000000002
SigLIP2 / WebLI-10b / 16.0 / B,256,384,79.304,80.65,1.3460000000000036
SigLIP2 / WebLI-10b / 16.0 / B,256,512,79.304,81.274,1.9699999999999989
SigLIP2 / WebLI-10b / 16.0 / B,384,512,80.65,81.274,0.6239999999999952
SigLIP2 / WebLI-10b / 16.0 / L,256,384,82.35,83.232,0.882000000000005
SigLIP2 / WebLI-10b / 16.0 / L,256,512,82.35,83.498,1.1480000000000103
SigLIP2 / WebLI-10b / 16.0 / L,384,512,83.232,83.498,0.26600000000000534
CLIP / MetaCLIP2-2.5b / 14.0 / bigG,224,378,79.91,83.018,3.108000000000004
CLIPA / DataComp-1b / 14.0 / H,224,336,81.508,81.798,0.29000000000000625
CLIPA / DataComp-1b / 14.0 / L,224,336,79.602,80.276,0.6739999999999924
CLIPA / DataComp-1b / 14.0 / bigG,224,336,82.682,82.876,0.19400000000000261
SigLIP / WebLI-10b / 16.0 / L,256,384,80.444,82.08,1.6359999999999957
SigLIP2 / WebLI-10b / 16.0 / gopt,256,384,84.458,84.956,0.49800000000000466
