base_config,from_res,to_res,from_metric,to_metric,effect_pp
SigLIP / WebLI-10b / 16.0 / B,224,256,62.4,61.60000000000001,-0.79999999999999
SigLIP / WebLI-10b / 16.0 / B,224,384,62.4,67.2,4.800000000000004
SigLIP / WebLI-10b / 16.0 / B,224,512,62.4,65.60000000000001,3.20000000000001
SigLIP / WebLI-10b / 16.0 / B,256,384,61.60000000000001,67.2,5.599999999999994
SigLIP / WebLI-10b / 16.0 / B,256,512,61.60000000000001,65.60000000000001,4.0
SigLIP / WebLI-10b / 16.0 / B,384,512,67.2,65.60000000000001,-1.5999999999999943
CLIP / DFN-5b / 14.0 / H,224,378,73.6,80.4,6.800000000000011
CLIP / LAION-400m / 16.0 / B,224,240,70.39999999999999,62.4,-7.999999999999993
CLIP / MetaCLIP2-2.5b / 14.0 / H,224,378,46.13333333333333,76.8,30.666666666666664
CLIP / OpenAI-400m / 14.0 / L,224,336,45.6,44.00000000000001,-1.5999999999999943
SigLIP2 / WebLI-10b / 16.0 / B,224,256,83.2,82.39999999999999,-0.8000000000000114
SigLIP2 / WebLI-10b / 16.0 / B,224,384,83.2,78.4,-4.799999999999997
SigLIP2 / WebLI-10b / 16.0 / B,224,512,83.2,77.60000000000001,-5.599999999999994
SigLIP2 / WebLI-10b / 16.0 / B,256,384,82.39999999999999,78.4,-3.999999999999986
SigLIP2 / WebLI-10b / 16.0 / B,256,512,82.39999999999999,77.60000000000001,-4.799999999999983
SigLIP2 / WebLI-10b / 16.0 / B,384,512,78.4,77.60000000000001,-0.7999999999999972
SigLIP2 / WebLI-10b / 16.0 / L,256,384,34.4,38.4,4.0
SigLIP2 / WebLI-10b / 16.0 / L,256,512,34.4,52.0,17.6
SigLIP2 / WebLI-10b / 16.0 / L,384,512,38.4,52.0,13.600000000000001
CLIP / MetaCLIP2-2.5b / 14.0 / bigG,224,378,52.0,31.2,-20.8
CLIPA / DataComp-1b / 14.0 / H,224,336,79.2,78.4,-0.7999999999999972
CLIPA / DataComp-1b / 14.0 / L,224,336,52.800000000000004,58.4,5.599999999999994
CLIPA / DataComp-1b / 14.0 / bigG,224,336,58.4,58.4,0.0
SigLIP / WebLI-10b / 16.0 / L,256,384,36.8,56.8,20.0
SigLIP2 / WebLI-10b / 16.0 / gopt,256,384,50.4,73.6,23.199999999999996
