base_config,from_size,to_size,from_metric,to_metric,effect_pp
CLIP / LAION-2b / 224 / 14.0,L,H,83.33333333333334,84.44444444444444,1.1111111111111
CLIP / LAION-2b / 224 / 14.0,L,g,83.33333333333334,78.8888888888889,-4.444444444444443
CLIP / LAION-2b / 224 / 14.0,L,bigG,83.33333333333334,87.64205999795229,4.308726664618945
CLIP / LAION-2b / 224 / 14.0,H,g,84.44444444444444,78.8888888888889,-5.555555555555543
CLIP / LAION-2b / 224 / 14.0,H,bigG,84.44444444444444,87.64205999795229,3.1976155535078448
CLIP / LAION-2b / 224 / 14.0,g,bigG,78.8888888888889,87.64205999795229,8.753171109063388
CLIP / CommonCrawl-2.5b / 224 / 14.0,L,H,84.44444444444444,79.16666666666666,-5.277777777777786
CLIP / CommonCrawl-2.5b / 224 / 14.0,L,bigG,84.44444444444444,78.88888888888889,-5.555555555555557
CLIP / CommonCrawl-2.5b / 224 / 14.0,H,bigG,79.16666666666666,78.88888888888889,-0.27777777777777146
CLIPA / DataComp-1b / 224 / 14.0,L,H,87.11989351899253,84.08759124087591,-3.0323022781166173
CLIPA / DataComp-1b / 224 / 14.0,L,bigG,87.11989351899253,85.55555555555556,-1.5643379634369694
CLIPA / DataComp-1b / 224 / 14.0,H,bigG,84.08759124087591,85.55555555555556,1.467964314679648
CLIPA / DataComp-1b / 336 / 14.0,L,H,87.09941640217058,84.1672196416722,-2.932196760498371
CLIPA / DataComp-1b / 336 / 14.0,L,bigG,87.09941640217058,85.0,-2.0994164021705757
CLIPA / DataComp-1b / 336 / 14.0,H,bigG,84.1672196416722,85.0,0.8327803583277955
SigLIP2 / WebLI-10b / 256 / 16.0,B,L,86.66666666666667,85.51243984846934,-1.1542268181973299
SigLIP2 / WebLI-10b / 256 / 16.0,B,gopt,86.66666666666667,85.92198218490836,-0.7446844817583127
SigLIP2 / WebLI-10b / 256 / 16.0,L,gopt,85.51243984846934,85.92198218490836,0.40954233643901716
SigLIP2 / WebLI-10b / 384 / 16.0,B,L,86.66666666666667,85.52267840688032,-1.1439882597863544
SigLIP2 / WebLI-10b / 384 / 16.0,B,gopt,86.66666666666667,85.7786423671547,-0.8880242995119687
SigLIP2 / WebLI-10b / 384 / 16.0,L,gopt,85.52267840688032,85.7786423671547,0.2559639602743857
CLIP / MetaCLIP2-2.5b / 224 / 14.0,H,bigG,82.96296296296296,86.14465826144658,3.1816952984836178
CLIP / MetaCLIP2-2.5b / 378 / 14.0,H,bigG,84.44444444444444,85.9721300597213,1.5276856152768516
SigLIP / WebLI-10b / 256 / 16.0,B,L,86.63474958571885,85.92198218490836,-0.7127674008104918
SigLIP / WebLI-10b / 384 / 16.0,B,L,87.36561892085595,84.28666224286663,-3.078956677989325
SigLIP2 / WebLI-10b / 512 / 16.0,B,L,86.66666666666667,85.63530254940105,-1.0313641172656247
