base_config,from_size,to_size,from_metric,to_metric,effect_pp
CLIP / LAION-2b / 224 / 14.0,L,H,75.246,77.928,2.682000000000002
CLIP / LAION-2b / 224 / 14.0,L,g,75.246,77.53999999999999,2.293999999999997
CLIP / LAION-2b / 224 / 14.0,L,bigG,75.246,80.092,4.846000000000004
CLIP / LAION-2b / 224 / 14.0,H,g,77.928,77.53999999999999,-0.38800000000000523
CLIP / LAION-2b / 224 / 14.0,H,bigG,77.928,80.092,2.1640000000000015
CLIP / LAION-2b / 224 / 14.0,g,bigG,77.53999999999999,80.092,2.5520000000000067
CLIP / CommonCrawl-2.5b / 224 / 14.0,L,H,77.925,79.501,1.5760000000000076
CLIP / CommonCrawl-2.5b / 224 / 14.0,L,bigG,77.925,80.89599999999999,2.9709999999999894
CLIP / CommonCrawl-2.5b / 224 / 14.0,H,bigG,79.501,80.89599999999999,1.3949999999999818
CLIPA / DataComp-1b / 224 / 14.0,L,H,79.602,81.508,1.9059999999999917
CLIPA / DataComp-1b / 224 / 14.0,L,bigG,79.602,82.682,3.0799999999999983
CLIPA / DataComp-1b / 224 / 14.0,H,bigG,81.508,82.682,1.1740000000000066
CLIPA / DataComp-1b / 336 / 14.0,L,H,80.276,81.798,1.5220000000000056
CLIPA / DataComp-1b / 336 / 14.0,L,bigG,80.276,82.876,2.6000000000000085
CLIPA / DataComp-1b / 336 / 14.0,H,bigG,81.798,82.876,1.078000000000003
SigLIP2 / WebLI-10b / 256 / 16.0,B,L,79.304,82.35,3.0459999999999923
SigLIP2 / WebLI-10b / 256 / 16.0,B,gopt,79.304,84.458,5.153999999999996
SigLIP2 / WebLI-10b / 256 / 16.0,L,gopt,82.35,84.458,2.108000000000004
SigLIP2 / WebLI-10b / 384 / 16.0,B,L,80.65,83.232,2.5819999999999936
SigLIP2 / WebLI-10b / 384 / 16.0,B,gopt,80.65,84.956,4.305999999999997
SigLIP2 / WebLI-10b / 384 / 16.0,L,gopt,83.232,84.956,1.7240000000000038
CLIP / MetaCLIP2-2.5b / 224 / 14.0,H,bigG,73.13000000000001,79.91,6.779999999999987
CLIP / MetaCLIP2-2.5b / 378 / 14.0,H,bigG,82.254,83.018,0.7639999999999958
SigLIP / WebLI-10b / 256 / 16.0,B,L,75.836,80.444,4.608000000000004
SigLIP / WebLI-10b / 384 / 16.0,B,L,78.484,82.08,3.5960000000000036
SigLIP2 / WebLI-10b / 512 / 16.0,B,L,81.274,83.498,2.2240000000000038
