base_config,from_size,to_size,from_metric,to_metric,effect_pp
CLIP / LAION-2b / 224 / 14.0,L,H,72.8,48.8,-24.0
CLIP / LAION-2b / 224 / 14.0,L,g,72.8,70.0,-2.799999999999997
CLIP / LAION-2b / 224 / 14.0,L,bigG,72.8,78.4,5.6000000000000085
CLIP / LAION-2b / 224 / 14.0,H,g,48.8,70.0,21.200000000000003
CLIP / LAION-2b / 224 / 14.0,H,bigG,48.8,78.4,29.60000000000001
CLIP / LAION-2b / 224 / 14.0,g,bigG,70.0,78.4,8.400000000000006
CLIP / CommonCrawl-2.5b / 224 / 14.0,L,H,48.0,26.8,-21.2
CLIP / CommonCrawl-2.5b / 224 / 14.0,L,bigG,48.0,55.60000000000001,7.6000000000000085
CLIP / CommonCrawl-2.5b / 224 / 14.0,H,bigG,26.8,55.60000000000001,28.800000000000008
CLIPA / DataComp-1b / 224 / 14.0,L,H,52.800000000000004,79.2,26.4
CLIPA / DataComp-1b / 224 / 14.0,L,bigG,52.800000000000004,58.4,5.599999999999994
CLIPA / DataComp-1b / 224 / 14.0,H,bigG,79.2,58.4,-20.800000000000004
CLIPA / DataComp-1b / 336 / 14.0,L,H,58.4,78.4,20.000000000000007
CLIPA / DataComp-1b / 336 / 14.0,L,bigG,58.4,58.4,0.0
CLIPA / DataComp-1b / 336 / 14.0,H,bigG,78.4,58.4,-20.000000000000007
SigLIP2 / WebLI-10b / 256 / 16.0,B,L,82.39999999999999,34.4,-47.99999999999999
SigLIP2 / WebLI-10b / 256 / 16.0,B,gopt,82.39999999999999,50.4,-31.999999999999993
SigLIP2 / WebLI-10b / 256 / 16.0,L,gopt,34.4,50.4,16.0
SigLIP2 / WebLI-10b / 384 / 16.0,B,L,78.4,38.4,-40.00000000000001
SigLIP2 / WebLI-10b / 384 / 16.0,B,gopt,78.4,73.6,-4.800000000000011
SigLIP2 / WebLI-10b / 384 / 16.0,L,gopt,38.4,73.6,35.199999999999996
CLIP / MetaCLIP2-2.5b / 224 / 14.0,H,bigG,46.13333333333333,52.0,5.866666666666667
CLIP / MetaCLIP2-2.5b / 378 / 14.0,H,bigG,76.8,31.2,-45.599999999999994
SigLIP / WebLI-10b / 256 / 16.0,B,L,61.60000000000001,36.8,-24.80000000000001
SigLIP / WebLI-10b / 384 / 16.0,B,L,67.2,56.8,-10.400000000000006
SigLIP2 / WebLI-10b / 512 / 16.0,B,L,77.60000000000001,52.0,-25.60000000000001
