base_config,data_1,data_2,metric_1,metric_2,effect_pp
CLIP / 224 / B / 32.0,DataComp-12.8b,CommonCrawl-2.5b,69.194,66.24799999999999,2.946000000000012
CLIP / 224 / B / 32.0,DataComp-12.8b,LAION-2b,69.194,66.10000000000001,3.093999999999994
CLIP / 224 / B / 32.0,DataComp-12.8b,MetaCLIP-400m,69.194,63.636,5.558
CLIP / 224 / B / 32.0,DataComp-12.8b,LAION-400m,69.194,61.59100000000001,7.602999999999994
CLIP / 224 / B / 32.0,DataComp-12.8b,OpenAI-400m,69.194,61.477000000000004,7.716999999999999
CLIP / 224 / B / 32.0,DataComp-12.8b,DataComp-128m,69.194,29.708000000000002,39.486000000000004
CLIP / 224 / B / 32.0,DataComp-12.8b,CommonPool-128m,69.194,23.77466666666667,45.419333333333334
CLIP / 224 / B / 32.0,DataComp-12.8b,DataComp-13m,69.194,3.91,65.284
CLIP / 224 / B / 32.0,DataComp-12.8b,CommonPool-13m,69.194,3.8446666666666665,65.34933333333333
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,LAION-2b,66.24799999999999,66.10000000000001,0.14799999999998192
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,MetaCLIP-400m,66.24799999999999,63.636,2.6119999999999877
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,LAION-400m,66.24799999999999,61.59100000000001,4.656999999999982
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,OpenAI-400m,66.24799999999999,61.477000000000004,4.770999999999987
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,DataComp-128m,66.24799999999999,29.708000000000002,36.53999999999999
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,CommonPool-128m,66.24799999999999,23.77466666666667,42.47333333333332
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,DataComp-13m,66.24799999999999,3.91,62.337999999999994
CLIP / 224 / B / 32.0,CommonCrawl-2.5b,CommonPool-13m,66.24799999999999,3.8446666666666665,62.40333333333332
CLIP / 224 / B / 32.0,LAION-2b,MetaCLIP-400m,66.10000000000001,63.636,2.4640000000000057
CLIP / 224 / B / 32.0,LAION-2b,LAION-400m,66.10000000000001,61.59100000000001,4.509
CLIP / 224 / B / 32.0,LAION-2b,OpenAI-400m,66.10000000000001,61.477000000000004,4.623000000000005
CLIP / 224 / B / 32.0,LAION-2b,DataComp-128m,66.10000000000001,29.708000000000002,36.39200000000001
CLIP / 224 / B / 32.0,LAION-2b,CommonPool-128m,66.10000000000001,23.77466666666667,42.32533333333334
CLIP / 224 / B / 32.0,LAION-2b,DataComp-13m,66.10000000000001,3.91,62.19000000000001
