model_id,arch_family,patch_size,training_data
ViT-SO400M-14-SigLIP-384_webli,SigLIP,14.0,WebLI-10b
ViT-SO400M-14-SigLIP_webli,SigLIP,14.0,WebLI-10b
ViT-SO400M-14-SigLIP-378_webli,SigLIP,14.0,WebLI-10b
ViT-B-16-SigLIP2-384_webli,SigLIP2,16.0,WebLI-10b
ViT-H-14-quickgelu_dfn5b,CLIP,14.0,DFN-5b
ViT-gopt-16-SigLIP2-384_webli,SigLIP2,16.0,WebLI-10b
ViT-B-16-SigLIP2-512_webli,SigLIP2,16.0,WebLI-10b
ViT-B-16-SigLIP2_webli,SigLIP2,16.0,WebLI-10b
MobileCLIP2-L-14_dfndr2b,MobileCLIP2,14.0,DFNDR-2b
ViT-H-14-378-quickgelu_dfn5b,CLIP,14.0,DFN-5b
xlm-roberta-large-ViT-H-14_frozen_laion5b_s13b_b90k,XLM-RoBERTa-CLIP,14.0,LAION-5b
ViT-B-16-SigLIP2-256_webli,SigLIP2,16.0,WebLI-10b
MobileCLIP2-S3_dfndr2b,MobileCLIP2,,DFNDR-2b
ViT-H-14-CLIPA-336_laion2b,CLIPA,14.0,LAION-2b
MobileCLIP2-S2_dfndr2b,MobileCLIP2,,DFNDR-2b
PE-Core-bigG-14-448_meta,PE,14.0,MetaCLIP-5.4b
nllb-clip-large-siglip_v1,NLLB-SigLIP,14.0,WebLI-10b
ViT-SO400M-16-SigLIP-i18n-256_webli,SigLIP,16.0,WebLI-10b
ViT-SO400M-16-SigLIP2-512_webli,SigLIP2,16.0,WebLI-10b
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,CoCa,14.0,LAION-2b
MobileCLIP2-S4_dfndr2b,MobileCLIP2,,DFNDR-2b
MobileCLIP2-B_dfndr2b,MobileCLIP2,,DFNDR-2b
ViT-H-14-worldwide-378_metaclip2_worldwide,CLIP,14.0,MetaCLIP2-2.5b
ViT-B-32-SigLIP2-256_webli,SigLIP2,32.0,WebLI-10b
ViT-H-14-CLIPA-336_datacomp1b,CLIPA,14.0,DataComp-1b
ViT-H-14-378_dfn5b,CLIP,14.0,DFN-5b
ViT-L-14-quickgelu_dfn2b,CLIP,14.0,DFN-2b
ViT-B-16-SigLIP-512_webli,SigLIP,16.0,WebLI-10b
ViT-H-14-CLIPA_datacomp1b,CLIPA,14.0,DataComp-1b
nllb-clip-large_v1,NNLB-CLIP,14.0,LAION-2b
PE-Core-S-16-384_meta,PE,16.0,MetaCLIP-5.4b
ViT-g-14_laion2b_s12b_b42k,CLIP,14.0,LAION-2b
nllb-clip-large-siglip_mrl,NLLB-SigLIP,14.0,WebLI-10b
PE-Core-L-14-336_meta,PE,14.0,MetaCLIP-5.4b
ViT-L-14_commonpool_xl_s13b_b90k,CLIP,14.0,CommonPool-12.8b
ViT-H-14_dfn5b,CLIP,14.0,DFN-5b
PE-Core-B-16_meta,PE,16.0,MetaCLIP-5.4b
ViT-B-16-SigLIP-384_webli,SigLIP,16.0,WebLI-10b
ViTamin-XL-256_datacomp1b,ViTamin,14.0,DataComp-1b
ViT-bigG-14-CLIPA-336_datacomp1b,CLIPA,14.0,DataComp-1b
ViTamin-L-336_datacomp1b,ViTamin,14.0,DataComp-1b
ViT-B-16-SigLIP-i18n-256_webli,SigLIP,16.0,WebLI-10b
ViT-L-14-CLIPA-336_datacomp1b,CLIPA,14.0,DataComp-1b
ViTamin-L_datacomp1b,ViTamin,14.0,DataComp-1b
ViT-bigG-14_laion2b_s39b_b160k,CLIP,14.0,LAION-2b
ViT-L-14_laion2b_s32b_b82k,CLIP,14.0,LAION-2b
ViTamin-L2-384_datacomp1b,ViTamin,14.0,DataComp-1b
ViT-bigG-14_metaclip_fullcc,CLIP,14.0,CommonCrawl-2.5b
ViT-SO400M-14-SigLIP2_webli,SigLIP2,14.0,WebLI-10b
ViT-SO400M-16-SigLIP2-384_webli,SigLIP2,16.0,WebLI-10b
MobileCLIP2-S0_dfndr2b,MobileCLIP2,16.0,DFNDR-2b
convnext_large_d_320_laion2b_s29b_b131k_ft_soup,ConvNeXt,,LAION-2b
ViT-B-16-quickgelu_metaclip_400m,CLIP,16.0,MetaCLIP-400m
coca_ViT-L-14_laion2b_s13b_b90k,CoCa,14.0,LAION-2b
ViT-B-16-SigLIP_webli,SigLIP,16.0,WebLI-10b
EVA01-g-14_laion400m_s11b_b41k,EVA,14.0,LAION-400m
ViT-L-14_datacomp_xl_s13b_b90k,CLIP,14.0,DataComp-1b
ViTamin-L-256_datacomp1b,ViTamin,14.0,DataComp-1b
ViT-SO400M-16-SigLIP2-256_webli,SigLIP2,16.0,WebLI-10b
convnext_xxlarge_laion2b_s34b_b82k_augreg,ConvNeXt,,LAION-2b
MobileCLIP-S2_datacompdr,MobileCLIP,14.0,DataComp-1b
ViT-B-32_laion2b_s34b_b79k,CLIP,32.0,LAION-2b
MobileCLIP-B_datacompdr,MobileCLIP,14.0,DataComp-1b
ViT-B-16_datacomp_xl_s13b_b90k,CLIP,16.0,DataComp-1b
ViT-H-14-worldwide-quickgelu_metaclip2_worldwide,CLIP,14.0,MetaCLIP2-2.5b
convnext_base_laion400m_s13b_b51k,ConvNeXt,,LAION-400m
ViT-g-14_laion2b_s34b_b88k,CLIP,14.0,LAION-2b
nllb-clip-base-siglip_v1,NLLB-SigLIP,16.0,WebLI-10b
ViT-B-16_laion2b_s34b_b88k,CLIP,16.0,LAION-2b
ViT-SO400M-14-SigLIP2-378_webli,SigLIP2,14.0,WebLI-10b
convnext_base_w_laion2b_s13b_b82k,ConvNeXt,,LAION-2b
ViT-B-16_dfn2b,CLIP,16.0,DFNDR-2b
RN50x64-quickgelu_openai,ResNet,,OpenAI-400m
convnext_large_d_laion2b_s26b_b102k_augreg,ConvNeXt,,LAION-2b
ViTamin-L2-336_datacomp1b,ViTamin,14.0,DataComp-1b
ViT-B-16-quickgelu_dfn2b,CLIP,16.0,DFN-2b
ViT-B-16_metaclip_400m,CLIP,16.0,MetaCLIP-400m
convnext_base_w_320_laion_aesthetic_s13b_b82k,ConvNeXt,,LAION-A-900m
ViT-gopt-16-SigLIP2-256_webli,SigLIP2,16.0,WebLI-10b
ViT-L-16-SigLIP-384_webli,SigLIP,16.0,WebLI-10b
convnext_large_d_320_laion2b_s29b_b131k_ft,ConvNeXt,,LAION-2b
ViTamin-L2-256_datacomp1b,ViTamin,14.0,DataComp-1b
ViT-bigG-14-CLIPA_datacomp1b,CLIPA,14.0,DataComp-1b
ViT-B-32-256_datacomp_s34b_b86k,CLIP,32.0,DataComp-1b
ViT-B-16_laion400m_e31,CLIP,16.0,LAION-400m
ViT-L-14_commonpool_xl_clip_s13b_b90k,CLIP,14.0,CommonPool-12.8b
ViT-B-32-quickgelu_metaclip_fullcc,CLIP,32.0,CommonCrawl-2.5b
ViT-L-14_dfn2b_s39b,CLIP,14.0,DFN-2b
ViT-B-16-SigLIP-256_webli,SigLIP,16.0,WebLI-10b
ViT-L-14_metaclip_fullcc,CLIP,14.0,CommonCrawl-2.5b
xlm-roberta-base-ViT-B-32_laion5b_s13b_b90k,XLM-RoBERTa-CLIP,32.0,LAION-5b
RN50x64_openai,ResNet,,OpenAI-400m
ViT-L-16-SigLIP2-512_webli,SigLIP2,16.0,WebLI-10b
convnext_base_w_laion2b_s13b_b82k_augreg,ConvNeXt,,LAION-2b
ViT-L-14-CLIPA_datacomp1b,CLIPA,14.0,DataComp-1b
ViT-B-16_commonpool_l_clip_s1b_b8k,CLIP,16.0,CommonPool-1b
ViT-B-16_laion400m_e32,CLIP,16.0,LAION-400m
EVA02-L-14-336_merged2b_s6b_b61k,EVA,14.0,Merged-2b
ViT-L-14-quickgelu_metaclip_fullcc,CLIP,14.0,CommonCrawl-2.5b
ViT-B-16-quickgelu_metaclip_fullcc,CLIP,16.0,CommonCrawl-2.5b
ViT-bigG-14-worldwide_metaclip2_worldwide,CLIP,14.0,MetaCLIP2-2.5b
ViT-B-32_laion2b_e16,CLIP,32.0,LAION-2b
ViTamin-L-384_datacomp1b,ViTamin,14.0,DataComp-1b
ViTamin-XL-336_datacomp1b,ViTamin,14.0,DataComp-1b
ViTamin-S-LTT_datacomp1b,ViTamin,14.0,DataComp-1b
EVA02-L-14_merged2b_s4b_b131k,EVA,14.0,Merged-2b
ViTamin-S_datacomp1b,ViTamin,14.0,DataComp-1b
ViT-B-16_commonpool_l_text_s1b_b8k,CLIP,16.0,CommonPool-1b
convnext_base_w_320_laion_aesthetic_s13b_b82k_augreg,ConvNeXt,,LAION-A-900m
ViTamin-B_datacomp1b,ViTamin,14.0,DataComp-1b
ViT-L-14_laion400m_e32,CLIP,14.0,LAION-400m
ViT-L-14_commonpool_xl_laion_s13b_b90k,CLIP,14.0,CommonPool-12.8b
ViT-L-14_laion400m_e31,CLIP,14.0,LAION-400m
convnext_base_w_laion_aesthetic_s13b_b82k,ConvNeXt,,LAION-A-900m
ViT-B-16_commonpool_l_s1b_b8k,CLIP,16.0,CommonPool-1b
ViT-B-16_commonpool_l_image_s1b_b8k,CLIP,16.0,CommonPool-1b
ViT-B-32_datacomp_xl_s13b_b90k,CLIP,32.0,DataComp-12.8b
ViTamin-B-LTT_datacomp1b,ViTamin,14.0,DataComp-1b
roberta-ViT-B-32_laion2b_s12b_b32k,RoBERTa-CLIP,32.0,LAION-2b
EVA02-B-16_merged2b_s8b_b131k,EVA,16.0,Merged-2b
ViT-L-14_dfn2b,CLIP,14.0,DFN-2b
ViT-H-14_laion2b_s32b_b79k,CLIP,14.0,LAION-2b
coca_ViT-B-32_laion2b_s13b_b90k,CoCa,32.0,LAION-2b
convnext_xxlarge_laion2b_s34b_b82k_augreg_soup,ConvNeXt,,LAION-2b
ViT-H-14_metaclip_altogether,CLIP,14.0,MetaCLIP2-2.5b
MobileCLIP-B_datacompdr_lt,MobileCLIP,16.0,DataComp-1b
ViT-B-16_metaclip_fullcc,CLIP,16.0,CommonCrawl-2.5b
ViT-B-32-quickgelu_laion400m_e31,CLIP,32.0,LAION-400m
ViT-B-32-quickgelu_metaclip_400m,CLIP,32.0,MetaCLIP-400m
RN50x4-quickgelu_openai,ResNet,,OpenAI-400m
PE-Core-T-16-384_meta,PE,16.0,MetaCLIP-5.4b
ViT-B-16-plus-240_laion400m_e32,CLIP,16.0,LAION-400m
ViT-B-16-plus-240_laion400m_e31,CLIP,16.0,LAION-400m
ViT-B-32-quickgelu_laion400m_e32,CLIP,32.0,LAION-400m
RN50_openai,ResNet,,OpenAI-400m
RN101-quickgelu_openai,ResNet,,OpenAI-400m
ViT-B-16_commonpool_l_basic_s1b_b8k,CLIP,16.0,CommonPool-1b
ViT-L-14-336_openai,CLIP,14.0,OpenAI-400m
ViTamin-L2_datacomp1b,ViTamin,14.0,DataComp-1b
ViTamin-XL-384_datacomp1b,ViTamin,14.0,DataComp-1b
ViT-B-16_datacomp_l_s1b_b8k,CLIP,16.0,DataComp-1b
ViT-B-32_metaclip_fullcc,CLIP,32.0,CommonCrawl-2.5b
RN50x16_openai,ResNet,,OpenAI-400m
convnext_xxlarge_laion2b_s34b_b82k_augreg_rewind,ConvNeXt,,LAION-2b
ViT-B-16_openai,CLIP,16.0,OpenAI-400m
ViT-bigG-14-quickgelu_metaclip_fullcc,CLIP,14.0,CommonCrawl-2.5b
ViT-H-14-worldwide_metaclip2_worldwide,CLIP,14.0,MetaCLIP2-2.5b
MobileCLIP-S1_datacompdr,MobileCLIP,16.0,DataComp-1b
RN50x4_openai,ResNet,,OpenAI-400m
RN101_openai,ResNet,,OpenAI-400m
ViT-L-16-SigLIP2-384_webli,SigLIP2,16.0,WebLI-10b
ViT-bigG-14-worldwide-378_metaclip2_worldwide,CLIP,14.0,MetaCLIP2-2.5b
ViT-L-14-336-quickgelu_openai,CLIP,14.0,OpenAI-400m
ViT-B-32_metaclip_400m,CLIP,32.0,MetaCLIP-400m
