model_name,pretrained_tag,model_id,arch_family,resnet_depth,resnet_multiplier,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,acc_gt_text1,acc_gt_text2,avg_accuracy,worst_group_accuracy,worst_group,best_group_accuracy,best_group,accuracy_gap,total_images,load_time_s,encode_time_s,"acc_obj=country, bg=country, co=country","acc_obj=country, bg=country, co=urban","acc_obj=country, bg=urban, co=country","acc_obj=country, bg=urban, co=urban","acc_obj=urban, bg=country, co=country","acc_obj=urban, bg=country, co=urban","acc_obj=urban, bg=urban, co=country","acc_obj=urban, bg=urban, co=urban",vit_size
ViT-SO400M-14-SigLIP-384,webli,ViT-SO400M-14-SigLIP-384_webli,SigLIP,,,14.0,384,WebLI-10b,False,,878.0,0.922,0.906,0.914,0.864,"obj=country, bg=urban, co=urban",0.96,"obj=urban, bg=urban, co=urban",0.05,1000,10.5,9.6,0.936,0.904,0.92,0.864,0.928,0.92,0.88,0.96,
ViT-SO400M-14-SigLIP,webli,ViT-SO400M-14-SigLIP_webli,SigLIP,,,14.0,224,WebLI-10b,False,,877.4,0.912,0.904,0.908,0.864,"obj=urban, bg=urban, co=country",0.976,"obj=urban, bg=urban, co=urban",0.044,1000,107.8,3.8,0.92,0.896,0.92,0.88,0.888,0.92,0.864,0.976,
ViT-SO400M-14-SigLIP-378,webli,ViT-SO400M-14-SigLIP-378_webli,SigLIP,,,14.0,378,WebLI-10b,False,,878.0,0.946,0.868,0.907,0.816,"obj=country, bg=urban, co=urban",0.976,"obj=urban, bg=urban, co=urban",0.091,1000,44.3,10.4,0.904,0.872,0.88,0.816,0.928,0.944,0.936,0.976,
ViT-B-16-SigLIP2-384,webli,ViT-B-16-SigLIP2-384_webli,SigLIP2,,,16.0,384,WebLI-10b,False,,375.5,0.96,0.846,0.903,0.784,"obj=country, bg=urban, co=urban",0.984,"obj=urban, bg=country, co=urban",0.119,1000,25.0,4.1,0.88,0.848,0.872,0.784,0.904,0.984,0.968,0.984,B
ViT-H-14-quickgelu,dfn5b,ViT-H-14-quickgelu_dfn5b,CLIP,,,14.0,224,DFN-5b,True,1024.0,986.1,0.898,0.902,0.9,0.848,"obj=urban, bg=country, co=country",0.96,"obj=urban, bg=urban, co=urban",0.052,1000,46.0,6.2,0.944,0.936,0.872,0.856,0.848,0.904,0.88,0.96,H
ViT-gopt-16-SigLIP2-384,webli,ViT-gopt-16-SigLIP2-384_webli,SigLIP2,,,16.0,384,WebLI-10b,False,,1871.9,0.86,0.934,0.897,0.736,"obj=urban, bg=country, co=country",0.976,"obj=country, bg=country, co=country",0.161,1000,103.2,15.3,0.976,0.92,0.952,0.888,0.736,0.92,0.824,0.96,gopt
ViT-B-16-SigLIP2-512,webli,ViT-B-16-SigLIP2-512_webli,SigLIP2,,,16.0,512,WebLI-10b,False,,375.8,0.952,0.842,0.897,0.776,"obj=country, bg=urban, co=urban",0.984,"obj=urban, bg=urban, co=urban",0.121,1000,24.8,7.1,0.88,0.848,0.864,0.776,0.912,0.968,0.944,0.984,B
ViT-B-16-SigLIP2,webli,ViT-B-16-SigLIP2_webli,SigLIP2,,,16.0,224,WebLI-10b,False,,375.2,0.946,0.842,0.894,0.832,"obj=country, bg=country, co=urban",0.976,"obj=urban, bg=urban, co=urban",0.062,1000,25.1,2.0,0.864,0.832,0.832,0.84,0.88,0.96,0.968,0.976,B
MobileCLIP2-L-14,dfndr2b,MobileCLIP2-L-14_dfndr2b,MobileCLIP2,,,14.0,224,DFNDR-2b,False,,427.6,0.938,0.85,0.894,0.824,"obj=country, bg=urban, co=urban",0.968,"obj=urban, bg=urban, co=urban",0.07,1000,26.1,3.1,0.896,0.848,0.832,0.824,0.896,0.952,0.936,0.968,
ViT-H-14-378-quickgelu,dfn5b,ViT-H-14-378-quickgelu_dfn5b,CLIP,,,14.0,378,DFN-5b,True,1024.0,986.7,0.97,0.816,0.893,0.784,"obj=country, bg=urban, co=urban",1.0,"obj=urban, bg=country, co=urban",0.1089999999999999,1000,43.6,17.3,0.864,0.8,0.816,0.784,0.96,1.0,0.944,0.976,H
xlm-roberta-large-ViT-H-14,frozen_laion5b_s13b_b90k,xlm-roberta-large-ViT-H-14_frozen_laion5b_s13b_b90k,XLM-RoBERTa-CLIP,,,14.0,224,LAION-5b,False,1024.0,1193.0,0.932,0.85,0.891,0.792,"obj=country, bg=urban, co=urban",0.984,"obj=urban, bg=urban, co=urban",0.0989999999999999,1000,60.3,5.9,0.904,0.84,0.864,0.792,0.888,0.96,0.896,0.984,H
ViT-B-16-SigLIP2-256,webli,ViT-B-16-SigLIP2-256_webli,SigLIP2,,,16.0,256,WebLI-10b,False,,375.2,0.914,0.86,0.887,0.824,"obj=country, bg=urban, co=country",0.96,"obj=urban, bg=urban, co=urban",0.063,1000,23.8,1.4,0.912,0.864,0.824,0.84,0.832,0.928,0.936,0.96,B
MobileCLIP2-S3,dfndr2b,MobileCLIP2-S3_dfndr2b,MobileCLIP2,,,,256,DFNDR-2b,False,,248.9,0.884,0.884,0.884,0.84,"obj=country, bg=urban, co=urban",0.92,"obj=urban, bg=urban, co=urban",0.044,1000,14.9,2.6,0.912,0.88,0.904,0.84,0.864,0.896,0.856,0.92,
ViT-H-14-CLIPA-336,laion2b,ViT-H-14-CLIPA-336_laion2b,CLIPA,,,14.0,336,LAION-2b,False,1024.0,968.6,0.83,0.936,0.883,0.704,"obj=urban, bg=country, co=country",0.968,"obj=country, bg=country, co=country",0.179,1000,48.4,12.2,0.968,0.928,0.928,0.92,0.704,0.848,0.856,0.912,H
MobileCLIP2-S2,dfndr2b,MobileCLIP2-S2_dfndr2b,MobileCLIP2,,,,256,DFNDR-2b,False,,99.2,0.942,0.824,0.883,0.744,"obj=country, bg=urban, co=urban",0.968,"obj=urban, bg=country, co=urban",0.139,1000,8.0,2.6,0.872,0.84,0.84,0.744,0.896,0.968,0.944,0.96,
PE-Core-bigG-14-448,meta,PE-Core-bigG-14-448_meta,PE,,,14.0,448,MetaCLIP-5.4b,False,,2419.3,0.988,0.77,0.879,0.72,"obj=country, bg=urban, co=urban",1.0,"obj=urban, bg=urban, co=urban",0.159,1000,194.6,42.6,0.824,0.736,0.8,0.72,0.992,0.992,0.968,1.0,
